time jobId jobSize runtime tasks user
559 1 3 934 940;981;880 5
840 2 2 962 760;1163 9
957 3 5 406 1153;92;253;329;202 114
1150 4 3 906 1261;989;467 7
1206 5 2 990 626;1355 3
1467 6 3 473 822;367;229 179
2211 7 1 1298 1298 1
7496 8 3 998 1311;747;937 1
15334 9 2 878 597;1160 17
16177 10 10 520 219;421;172;422;701;323;484;1175;1040;238 58
16441 11 2 862 807;917 3
17655 12 4 923 1081;360;761;1489 103
21043 13 53 729 988;912;1130;590;867;188;1281;1198;755;979;604;436;1228;227;660;1329;1075;989;493;404;464;809;1031;975;739;296;964;498;900;623;89;410;809;670;559;281;1086;461;358;779;1219;747;1013;257;467;595;741;839;712;303;662;836;1126 2
21277 14 1 660 660 67
21315 15 3 276 127;129;571 3
21353 16 3 663 437;576;976 3
21830 17 4 856 1250;255;851;1067 1
21840 18 2 604 246;963 9
21884 19 2 572 970;173 1
21891 20 3 887 892;1029;739 7
21951 21 4 792 908;813;837;608 7
21996 22 10 614 545;681;298;573;285;1345;831;306;675;604 2
22061 23 2 686 452;920 1
22140 24 4 350 160;518;167;557 215
22319 25 1 797 797 2
22445 26 18 699 378;953;327;834;607;389;1078;991;250;862;929;899;543;746;810;635;900;457 8
23088 27 7 656 587;387;464;109;735;955;1352 1
23428 28 6 761 106;1268;227;1292;744;927 9
23917 29 12 657 1259;338;148;949;1209;279;385;549;302;982;818;671 4
23983 30 5 700 453;72;1171;1044;759 2
24236 31 6 855 599;870;534;1454;670;1005 4
24242 32 5 756 838;447;784;491;1222 3
24263 33 4 650 75;421;1177;928 1
24304 34 1 1073 1073 12
24386 35 13 711 840;296;591;677;826;1369;566;1347;428;463;989;385;467 24
24402 36 2 349 307;391 168
24577 37 5 821 1432;650;1072;527;423 1
24586 38 3 619 619;766;471 1
24757 39 2 712 545;879 1
24780 40 6 808 1352;1176;555;457;566;744 2
24853 41 2 494 697;292 2
24888 42 1 74 74 16
24931 43 3 771 803;924;587 7
25009 44 2 151 146;156 21
25201 45 1 451 451 24
25332 46 7 582 638;418;850;1026;186;228;725 1
25463 47 2 700 948;453 9
25567 48 3 420 605;354;300 65
25657 49 3 687 1212;379;470 3
25925 50 5 742 304;1037;891;837;641 5
25960 51 10 436 611;570;702;674;202;566;133;308;180;409 37
26136 52 4 449 80;825;636;254 7
26601 53 2 428 571;284 1
27672 54 3 713 1129;470;539 6
27719 55 2 622 735;508 8
27886 56 3 739 708;1048;462 26
28034 57 2 734 633;836 18
28091 58 3 685 757;714;583 41
28199 59 2 820 608;1033 1
28266 60 9 750 1157;769;484;692;486;1490;420;968;288 38
28275 61 2 517 268;766 124
28282 62 2 754 515;993 11
28303 63 5 713 450;603;501;1169;844 8
28307 64 7 793 454;1106;566;1170;623;887;748 6
28319 65 7 526 677;508;955;660;132;488;264 10
28343 66 2 320 214;427 1
28537 67 2 588 786;390 2
28598 68 1 632 632 5
28623 69 13 520 315;316;257;394;825;590;506;893;1494;132;661;196;176 5
28713 70 2 620 980;259 3
28882 71 14 638 421;236;1238;534;384;968;865;207;886;280;888;938;516;568 1
28912 72 3 528 102;1063;420 9
28920 73 2 362 308;415 14
28940 74 5 584 261;577;970;718;393 1
29048 75 5 554 494;412;164;687;1012 1
29233 76 4 571 713;92;318;1160 16
29309 77 2 276 217;334 1
29853 78 2 858 765;950 17
30008 79 10 570 900;1022;575;495;377;645;996;318;129;245 50
30040 80 6 565 588;234;212;709;1047;602 7
30449 81 1 1140 1140 1
30474 82 2 516 266;767 39
30753 83 4 682 418;1138;1089;82 1
30758 84 4 763 1096;167;1273;516 1
31041 85 4 513 235;1017;281;518 2
31404 86 2 625 584;666 2
31486 87 9 733 960;1013;863;751;780;732;284;1079;136 14
31495 88 6 625 971;503;674;202;525;874 51
31700 89 5 518 604;661;176;1002;149 1
32050 90 7 623 758;328;686;624;707;624;634 1
32102 91 10 681 1245;99;643;148;961;1173;961;672;159;749 1
32114 92 2 368 552;183 2
32125 93 12 533 423;740;245;663;258;372;573;827;488;644;319;840 1
32171 94 15 685 908;656;549;1357;900;283;428;304;188;1056;255;800;789;983;818 38
32332 95 2 682 102;1262 3
32347 96 8 850 373;920;690;1482;1090;730;351;1161 43
32459 97 5 645 546;490;833;261;1095 1
32583 98 2 806 133;1480 153
32603 99 7 580 402;573;361;408;214;1425;674 1
32775 100 2 389 283;495 1
32991 101 1 177 177 1
33050 102 2 1321 1308;1334 9
33124 103 5 559 511;831;746;335;373 18
33158 104 10 628 265;406;948;534;594;129;1016;747;308;1338 35
33365 105 5 694 570;774;1150;733;245 5
33395 106 7 781 1279;1298;825;1039;417;474;135 3
33412 107 3 789 869;1209;290 1
33662 108 1 715 715 354
33672 109 3 698 984;668;442 3
33679 110 2 836 1201;470 1
33876 111 2 466 442;490 2
33937 112 4 586 835;168;948;395 1
33947 113 2 656 825;488 2
34175 114 4 737 748;419;1111;670 7
34328 115 3 365 685;271;138 1
34423 116 1 1078 1078 4
35043 117 2 283 388;178 2
35075 118 2 520 573;467 47
35183 119 3 702 525;1213;368 36
35468 120 3 620 334;636;891 2
35503 121 44 602 319;1314;608;1024;795;575;673;925;356;883;996;753;235;872;196;922;129;524;480;519;377;73;573;408;474;864;87;560;809;525;475;639;1024;435;681;637;482;628;492;1475;393;837;242;195 3
35530 122 11 677 409;1242;957;1093;208;94;952;455;443;975;619 1
35628 123 3 385 244;193;718 74
35720 124 3 908 553;1345;827 1
35823 125 2 369 249;489 110
