time jobId jobSize runtime tasks user
872 1 14 765 837;397;751;430;1180;322;479;724;967;1092;663;1227;1037;604 1
2545 2 1 671 671 24
2864 3 11 582 1049;357;1112;902;370;462;599;576;342;417;215 14
6925 4 2 652 1185;119 2
9063 5 8 857 343;1316;753;543;435;1002;984;1481 50
12663 6 4 400 211;509;601;279 24
13840 7 7 702 511;1013;211;884;764;331;1199 2
14137 8 15 775 614;564;777;656;1006;670;1026;791;337;817;836;700;686;1126;1015 1
14359 9 5 584 405;734;199;358;1223 1
17677 10 10 603 558;1057;709;1148;791;522;514;125;357;247 3
18807 11 1 477 477 18
18825 12 1 851 851 2
18961 13 47 614 334;341;1115;460;279;1316;1152;1028;670;489;820;1150;234;579;550;548;656;319;79;400;993;154;989;849;674;201;657;668;408;273;943;701;711;639;894;389;1288;211;658;245;454;258;421;477;417;618;1127 1
19012 14 3 765 1008;680;606 6
19352 15 3 746 898;611;729 11
19394 16 1 158 158 1
19562 17 8 641 813;178;752;694;703;663;1028;296 46
19599 18 2 888 706;1071 1
19618 19 1 544 544 34
19764 20 6 491 385;90;496;576;480;918 2
19785 21 9 717 180;906;817;1187;495;480;390;1126;874 4
19799 22 2 500 666;333 1
20139 23 7 679 744;573;1122;783;429;722;378 12
20218 24 2 1058 950;1167 14
20360 25 27 615 238;312;791;1075;523;547;457;836;570;333;817;119;78;410;1117;593;742;996;500;316;791;322;1366;230;1043;850;639 1
20390 26 8 703 1068;1328;537;663;191;956;743;135 49
20392 27 2 612 507;716 10
20485 28 1 253 253 2
20584 29 3 615 740;379;727 1
20979 30 7 657 908;914;680;392;642;525;535 2
21101 31 18 649 741;543;1161;794;624;1095;359;890;302;1048;1199;901;188;304;226;663;429;210 10
21114 32 2 754 1141;368 3
21180 33 8 849 141;946;1059;808;466;1443;912;1014 2
21189 34 1 1091 1091 8
21224 35 3 381 518;131;494 5
21469 36 6 752 487;807;867;728;896;725 1
21764 37 3 531 252;889;452 41
21919 38 2 624 710;539 1
21923 39 4 923 1442;901;488;861 1
21941 40 6 556 735;734;106;769;598;393 1
22045 41 1 432 432 1
23263 42 3 713 714;316;1108 1
23364 43 22 799 941;1423;520;660;535;1031;1108;1060;958;145;594;265;1295;1388;969;508;664;517;1031;400;786;779 1
23651 44 2 519 167;871 17
23673 45 4 810 1046;950;745;498 2
23709 46 6 628 459;814;1146;211;439;702 5
23758 47 8 853 599;710;433;830;992;1426;533;1298 1
23764 48 4 637 857;987;611;93 1
23948 49 3 687 654;542;864 1
24513 50 8 779 960;821;303;896;274;1005;648;1323 1
24541 51 10 714 512;794;857;431;103;363;1358;981;815;921 6
24841 52 1 997 997 9
24948 53 3 816 605;1152;690 3
25104 54 2 741 356;1126 2
25262 55 6 514 739;533;123;590;198;903 17
25462 56 4 534 84;989;383;678 3
25563 57 6 486 468;1115;213;599;128;390 10
25567 58 20 699 228;1101;666;423;333;1091;841;1043;911;854;1412;859;968;274;1091;719;410;116;345;299 2
25632 59 2 692 920;464 2
25637 60 2 636 991;281 2
25670 61 2 384 269;498 1
25683 62 3 512 230;620;687 2
25803 63 8 776 923;907;1368;591;312;1307;617;180 1
25818 64 12 633 291;1309;628;457;928;416;444;373;384;1490;743;137 18
25979 65 3 669 1281;467;259 6
26051 66 2 747 1338;156 23
26242 67 3 732 382;1178;636 54
