time jobId jobSize runtime tasks user peer
1359 1 1 866 866 1 198
1375 2 4 980 1702;785;211;1221 1 198
1419 3 4 934 1108;482;1022;1126 4 805
1845 4 8 648 431;1248;939;841;352;360;516;494 2 362
2016 5 2 1038 984;1092 1 198
2524 6 9 748 554;991;634;282;979;872;568;613;1243 1 198
3303 7 3 1004 1391;610;1010 1 198
3401 8 10 946 1176;959;1087;1219;1015;1017;1322;335;1113;220 9 339
3631 9 14 761 590;694;1055;818;245;1205;740;1307;584;467;410;748;1143;650 1 198
3671 10 7 617 574;142;1112;409;1011;470;603 1 198
4357 11 2 953 891;1015 1 198
4549 12 5 902 820;919;1162;1161;446 2 362
7731 13 3 1081 516;1647;1080 38 994
16253 14 9 961 290;1622;932;1430;1077;387;1012;915;982 30 516
16866 15 1 1136 1136 1 198
50882 16 14 944 1663;404;1130;922;749;384;1147;873;1618;1007;587;775;1374;584 1 198
53368 17 1 672 672 2 362
53609 18 1 1186 1186 36 929
54068 19 3 718 520;291;1344 1 198
54145 20 9 959 1106;231;1668;328;829;1051;809;1450;1156 150 611
55480 21 3 930 926;1206;657 5 760
55534 22 10 774 196;245;559;1341;1220;1287;554;738;599;1001 9 339
55542 23 2 1045 959;1131 1 198
56315 24 2 808 1012;604 91 841
56546 25 10 1004 788;756;889;485;1448;678;1372;1302;1344;977 6 94
56608 26 7 869 512;726;818;1351;503;978;1195 6 94
56730 27 3 866 420;1355;824 1 198
56742 28 2 788 664;911 1 198
56783 29 11 991 607;1312;878;949;764;895;760;1255;1397;1109;978 2 362
56883 30 2 946 653;1238 4 805
56928 31 16 924 597;1075;873;694;1353;957;905;1150;734;947;1681;178;946;935;717;1035 8 588
57016 32 2 834 747;922 3 713
57735 33 8 684 519;870;168;182;1017;1509;747;463 272 519
57754 34 3 699 946;508;643 1 198
57967 35 4 713 314;939;373;1226 6 94
58053 36 2 731 384;1078 2 362
58066 37 2 1308 1402;1213 34 407
58082 38 3 884 785;1200;668 1 198
58300 39 7 901 860;1435;1193;493;715;1143;467 1 198
58496 40 5 1199 1360;1532;1230;633;1242 114 435
59748 41 2 702 901;502 150 611
60035 42 2 696 622;771 15 399
60477 43 17 875 219;1546;649;413;1287;870;1397;1132;830;744;428;1153;1369;175;848;763;1046 1 198
61012 44 10 799 850;1475;470;275;720;961;1299;1058;498;383 9 339
61046 45 7 1026 743;719;946;1449;1146;1049;1133 5 760
