time jobId jobSize runtime tasks user
8223 6 1 625 804 1
14171 10 3 625 1312;606;1314 14
22264 24 1 625 594 1
22536 27 2 625 880;709 1
24199 37 3 625 98;305;564 1
22213 23 3 625 87;1018;507 19
24149 35 1 625 319 1
22734 29 1 625 898 13
24215 38 2 625 368;227 3
24716 39 4 625 236;849;781;273 1
25129 46 5 625 350;1338;777;810;138 1
26178 55 1 625 590 1
24901 42 8 625 741;630;645;233;977;140;947;914 1
25989 52 1 625 839 1
26083 54 1 625 827 13
24764 40 1 625 584 1
25261 47 2 625 658;627 15
26652 62 5 625 1201;344;329;513;686 1
27128 65 1 625 991 1
28305 72 1 625 738 1
26785 63 19 625 301;288;1374;96;634;727;935;269;452;520;342;120;1265;364;558;317;63;737;276 8
26481 59 5 625 241;404;1319;903;178 5
28579 76 3 625 179;327;558 2
28270 71 1 625 298 6
26387 56 8 625 553;449;644;521;607;448;932;308 1
26595 61 9 625 586;245;82;1370;579;1178;288;90;1052 5
27792 68 2 625 587;987 2
27092 64 4 625 414;790;227;1229 68
28535 74 6 625 398;525;1205;320;347;1220 1
24943 43 5 625 598;222;978;395;507 22
30788 97 1 625 159 2
29015 79 3 625 925;190;519 5
28899 77 3 625 691;1208;363 2
30434 91 1 625 774 1
30220 89 2 625 395;255 8
30474 93 3 625 666;313;886 2
28404 73 14 625 497;830;369;716;921;1000;908;274;853;1111;1018;820;237;1341 2
29799 84 8 625 161;488;387;128;216;705;1067;780 1
29040 80 39 625 107;166;842;241;344;848;225;561;412;1149;235;907;967;882;816;205;941;747;723;288;730;477;275;249;1331;427;581;389;863;523;986;491;807;271;327;396;421;320;869 7
26442 57 43 625 640;1041;478;1386;613;97;1402;220;587;627;688;1083;1047;763;1103;343;1056;820;984;628;1039;689;497;1316;663;1188;1012;377;108;367;675;863;422;774;839;655;64;795;589;1224;564;722;329 1
30732 96 6 625 598;863;370;325;471;1258 1
30463 92 13 625 557;266;1486;533;563;400;488;687;613;295;693;200;123 1
32973 105 10 625 610;413;986;1200;1135;690;260;72;915;356 1
30134 87 4 625 726;733;379;376 26
34327 112 1 625 963 1
34143 110 2 625 537;514 3
34724 115 8 625 245;549;307;268;914;544;781;402 3
34431 113 1 625 412 2
34815 117 4 625 1072;250;411;464 27
34069 109 3 625 142;920;188 1
33589 106 5 625 336;328;350;436;137 2
36772 128 1 625 586 1
34469 114 23 625 431;854;558;698;661;916;688;628;1017;1447;935;579;916;1322;742;153;244;631;526;1097;845;521;394 2
35657 121 1 625 933 8
35547 120 6 625 281;815;878;109;944;178 1
