time jobId jobSize runtime tasks user
8223 6 1 625 804 1
14171 10 3 625 1312;606;1314 14
22108 20 1 625 501 3
22213 23 3 625 87;507;366 19
22264 24 1 625 594 1
22536 27 1 625 709 1
22734 29 2 625 582;898 13
24149 35 2 625 697;319 1
24199 37 3 625 98;305;564 1
24215 38 3 625 947;368;227 3
24716 39 2 625 781;273 1
24764 40 2 625 584;1062 1
24901 42 9 625 510;575;741;630;645;593;233;947;914 1
24943 43 4 625 598;222;395;507 22
25129 46 3 625 777;810;138 1
25261 47 3 625 900;658;627 15
25989 52 2 625 285;839 1
26387 56 12 625 1114;1105;553;449;644;521;607;448;932;308;1336;1206 1
26442 57 45 625 348;640;1041;478;1386;613;613;97;1402;220;587;627;688;1047;763;1103;343;1056;820;984;628;1039;445;497;1316;663;1188;1188;1012;494;377;108;367;675;863;422;774;839;655;64;795;589;564;722;329 1
26481 59 7 625 241;404;1319;825;903;178;879 5
26595 61 6 625 586;245;82;288;90;1052 5
26652 62 4 625 344;329;513;686 1
26785 63 19 625 1166;301;1155;916;1374;96;435;634;727;935;269;520;342;120;364;558;317;63;276 8
27092 64 4 625 414;790;227;1229 68
27128 65 2 625 1149;991 1
27792 68 3 625 507;587;987 2
28270 71 1 625 788 6
28305 72 1 625 738 1
28404 73 13 625 830;369;921;1000;908;274;1018;820;237;771;809;1341;817 2
28535 74 7 625 604;398;1205;320;347;825;1116 1
28579 76 3 625 179;327;558 2
28899 77 5 625 691;333;1208;508;363 2
28979 78 1 625 104 3
29015 79 3 625 190;1038;519 5
29040 80 40 625 107;166;1320;842;241;344;848;225;561;412;1149;235;687;882;816;205;941;946;747;723;288;730;477;275;249;1331;427;581;566;389;523;986;491;807;271;327;396;421;320;869 7
29799 84 10 625 447;161;488;387;128;216;705;1239;1067;780 1
30134 87 4 625 726;769;379;376 26
30220 89 2 625 395;255 8
30434 91 1 625 774 1
30463 92 11 625 266;533;1486;563;400;488;687;613;295;200;123 1
30474 93 4 625 784;666;386;886 2
30732 96 7 625 598;863;370;654;763;325;471 1
32712 101 1 625 791 6
32956 104 1 625 187 2
32973 105 8 625 610;413;1200;1135;721;260;72;915 1
33589 106 7 625 202;363;336;328;436;793;137 2
34069 109 7 625 1146;702;142;920;923;803;188 1
34143 110 2 625 537;514 3
34327 112 1 625 598 1
34431 113 2 625 881;412 2
34469 114 23 625 431;854;558;698;916;723;688;628;1017;1447;935;579;916;1360;1322;742;153;244;631;526;845;521;394 2
34724 115 8 625 1054;345;245;307;268;914;781;402 3
34815 117 4 625 1072;250;395;411 27
