name speed peer
p_1-m_1 2.75 1
p_1-m_2 2.25 1
p_1-m_3 2.85 1
p_1-m_4 2.15 1
p_1-m_5 2.35 1
p_1-m_6 2.55 1
p_1-m_7 2.45 1
p_1-m_8 2.95 1
p_1-m_9 2.05 1
p_1-m_10 2.65 1
p_1-m_11 2.35 1
p_1-m_12 2.55 1
p_1-m_13 2.75 1
p_1-m_14 1.95 1
p_1-m_15 2.25 1
p_1-m_16 2.45 1
p_1-m_17 2.35 1
p_1-m_18 1.85 1
p_1-m_19 2.15 1
p_1-m_20 2.05 1
p_1-m_21 2.65 1
p_1-m_22 2.25 1
p_1-m_23 2.65 1
p_1-m_24 2.75 1
p_1-m_25 1.95 1
p_1-m_26 2.25 1
p_1-m_27 1.95 1
p_1-m_28 2.85 1
p_1-m_29 2.35 1
p_1-m_30 2.55 1
p_2-m_1 2.05 2
p_2-m_2 1.95 2
p_2-m_3 2.25 2
p_2-m_4 2.15 2
p_2-m_5 2.75 2
p_2-m_6 2.65 2
p_2-m_7 2.85 2
p_2-m_8 2.25 2
p_2-m_9 2.85 2
p_2-m_10 2.75 2
p_2-m_11 2.15 2
p_2-m_12 2.35 2
p_2-m_13 1.95 2
p_2-m_14 2.85 2
p_2-m_15 1.95 2
p_2-m_16 2.65 2
p_2-m_17 2.25 2
p_2-m_18 2.85 2
p_2-m_19 2.45 2
p_2-m_20 2.55 2
p_2-m_21 2.65 2
p_2-m_22 2.85 2
p_2-m_23 2.45 2
p_2-m_24 2.95 2
p_2-m_25 2.35 2
p_2-m_26 2.15 2
p_2-m_27 2.35 2
p_2-m_28 2.15 2
p_2-m_29 2.45 2
p_2-m_30 2.05 2
p_3-m_1 2.65 3
p_3-m_2 2.35 3
p_3-m_3 2.05 3
p_3-m_4 2.25 3
p_3-m_5 2.55 3
p_3-m_6 2.45 3
p_3-m_7 2.65 3
p_3-m_8 2.35 3
p_3-m_9 2.95 3
p_3-m_10 2.45 3
p_3-m_11 2.55 3
p_3-m_12 2.85 3
p_3-m_13 2.35 3
p_3-m_14 2.35 3
p_3-m_15 2.45 3
p_3-m_16 2.95 3
p_3-m_17 1.95 3
p_3-m_18 2.25 3
p_3-m_19 2.75 3
p_3-m_20 2.55 3
p_3-m_21 2.45 3
p_3-m_22 2.55 3
p_3-m_23 2.45 3
p_3-m_24 2.75 3
p_3-m_25 2.35 3
p_3-m_26 2.75 3
p_3-m_27 2.45 3
p_3-m_28 2.15 3
p_3-m_29 2.45 3
p_3-m_30 2.55 3
p_4-m_1 2.85 4
p_4-m_2 2.35 4
p_4-m_3 2.75 4
p_4-m_4 2.35 4
p_4-m_5 2.75 4
p_4-m_6 2.55 4
p_4-m_7 2.65 4
p_4-m_8 2.25 4
p_4-m_9 2.45 4
p_4-m_10 2.45 4
p_4-m_11 2.95 4
p_4-m_12 2.65 4
p_4-m_13 2.65 4
p_4-m_14 2.25 4
p_4-m_15 2.85 4
p_4-m_16 1.95 4
p_4-m_17 2.35 4
p_4-m_18 2.65 4
p_4-m_19 2.45 4
p_4-m_20 2.85 4
p_4-m_21 2.75 4
p_4-m_22 2.45 4
p_4-m_23 2.25 4
p_4-m_24 1.95 4
p_4-m_25 2.65 4
p_4-m_26 2.55 4
p_4-m_27 2.75 4
p_4-m_28 2.35 4
p_4-m_29 2.05 4
p_4-m_30 2.65 4
p_5-m_1 2.85 5
p_5-m_2 2.75 5
p_5-m_3 2.55 5
p_5-m_4 2.25 5
p_5-m_5 2.35 5
p_5-m_6 2.35 5
p_5-m_7 2.25 5
p_5-m_8 2.75 5
p_5-m_9 2.55 5
p_5-m_10 2.65 5
p_5-m_11 2.45 5
p_5-m_12 2.45 5
p_5-m_13 2.65 5
p_5-m_14 2.55 5
p_5-m_15 2.85 5
p_5-m_16 2.65 5
p_5-m_17 2.45 5
p_5-m_18 2.95 5
p_5-m_19 2.45 5
p_5-m_20 1.95 5
p_5-m_21 2.05 5
p_5-m_22 2.35 5
p_5-m_23 2.85 5
p_5-m_24 2.35 5
p_5-m_25 2.25 5
p_5-m_26 2.65 5
p_5-m_27 2.25 5
p_5-m_28 2.35 5
p_5-m_29 2.15 5
p_5-m_30 2.15 5
p_6-m_1 2.35 6
p_6-m_2 2.45 6
p_6-m_3 2.85 6
p_6-m_4 2.35 6
p_6-m_5 2.75 6
p_6-m_6 2.55 6
p_6-m_7 2.65 6
p_6-m_8 2.25 6
p_6-m_9 2.85 6
p_6-m_10 2.05 6
p_6-m_11 2.35 6
p_6-m_12 2.75 6
p_6-m_13 2.25 6
p_6-m_14 2.65 6
p_6-m_15 2.55 6
p_6-m_16 1.95 6
p_6-m_17 2.35 6
p_6-m_18 2.25 6
p_6-m_19 2.45 6
p_6-m_20 2.75 6
p_6-m_21 2.75 6
p_6-m_22 2.25 6
p_6-m_23 2.65 6
p_6-m_24 2.45 6
p_6-m_25 2.55 6
p_6-m_26 2.15 6
p_6-m_27 2.85 6
p_6-m_28 2.45 6
p_6-m_29 2.25 6
p_6-m_30 2.45 6
p_7-m_1 2.45 7
p_7-m_2 2.65 7
p_7-m_3 2.55 7
p_7-m_4 2.85 7
p_7-m_5 2.25 7
p_7-m_6 2.55 7
p_7-m_7 2.85 7
p_7-m_8 2.15 7
p_7-m_9 1.95 7
p_7-m_10 2.55 7
p_7-m_11 2.85 7
p_7-m_12 2.15 7
p_7-m_13 2.65 7
p_7-m_14 2.45 7
p_7-m_15 2.45 7
p_7-m_16 2.85 7
p_7-m_17 1.95 7
p_7-m_18 2.45 7
p_7-m_19 2.95 7
p_7-m_20 2.55 7
p_7-m_21 2.15 7
p_7-m_22 2.55 7
p_7-m_23 2.25 7
p_7-m_24 1.95 7
p_7-m_25 2.45 7
p_7-m_26 2.65 7
p_7-m_27 2.35 7
p_7-m_28 2.15 7
p_7-m_29 2.25 7
p_7-m_30 2.75 7
p_8-m_1 2.35 8
p_8-m_2 2.05 8
p_8-m_3 2.45 8
p_8-m_4 2.05 8
p_8-m_5 2.75 8
p_8-m_6 2.35 8
p_8-m_7 2.95 8
p_8-m_8 2.35 8
p_8-m_9 2.55 8
p_8-m_10 1.75 8
p_8-m_11 2.15 8
p_8-m_12 2.75 8
p_8-m_13 2.25 8
p_8-m_14 2.35 8
p_8-m_15 2.45 8
p_8-m_16 2.35 8
p_8-m_17 2.65 8
p_8-m_18 2.55 8
p_8-m_19 2.55 8
p_8-m_20 2.45 8
p_8-m_21 2.35 8
p_8-m_22 2.45 8
p_8-m_23 2.45 8
p_8-m_24 2.85 8
p_8-m_25 2.35 8
p_8-m_26 2.65 8
p_8-m_27 2.45 8
p_8-m_28 2.25 8
p_8-m_29 2.65 8
p_8-m_30 2.45 8
p_9-m_1 2.25 9
p_9-m_2 2.35 9
p_9-m_3 2.55 9
p_9-m_4 2.15 9
p_9-m_5 2.75 9
p_9-m_6 2.75 9
p_9-m_7 2.85 9
p_9-m_8 2.55 9
p_9-m_9 2.95 9
p_9-m_10 2.05 9
p_9-m_11 2.85 9
p_9-m_12 1.95 9
p_9-m_13 2.35 9
p_9-m_14 2.45 9
p_9-m_15 2.65 9
p_9-m_16 2.55 9
p_9-m_17 2.45 9
p_9-m_18 2.25 9
p_9-m_19 2.15 9
p_9-m_20 2.45 9
p_9-m_21 2.95 9
p_9-m_22 2.25 9
p_9-m_23 2.65 9
p_9-m_24 2.45 9
p_9-m_25 2.15 9
p_9-m_26 2.45 9
p_9-m_27 2.05 9
p_9-m_28 2.65 9
p_9-m_29 2.55 9
p_9-m_30 2.45 9
p_10-m_1 2.65 10
p_10-m_2 2.15 10
p_10-m_3 2.55 10
p_10-m_4 2.65 10
p_10-m_5 2.65 10
p_10-m_6 2.65 10
p_10-m_7 2.15 10
p_10-m_8 2.45 10
p_10-m_9 2.25 10
p_10-m_10 2.65 10
p_10-m_11 2.45 10
p_10-m_12 1.75 10
p_10-m_13 2.45 10
p_10-m_14 2.45 10
p_10-m_15 2.75 10
p_10-m_16 2.55 10
p_10-m_17 2.55 10
p_10-m_18 2.55 10
p_10-m_19 2.15 10
p_10-m_20 1.95 10
p_10-m_21 2.25 10
p_10-m_22 2.45 10
p_10-m_23 2.55 10
p_10-m_24 1.95 10
p_10-m_25 2.75 10
p_10-m_26 2.15 10
p_10-m_27 2.75 10
p_10-m_28 2.55 10
p_10-m_29 2.55 10
p_10-m_30 2.25 10
