taskId time jobId jobSize runtime user peer TraceID Cluster.IAT Cluster.RT
1641673  84216 581 10165 3310 59 6 gwa-t1 C3 C4
1641674  84216 581 10165 2823 59 6 gwa-t1 C3 C4
1641675  84216 581 10165 3869 59 6 gwa-t1 C3 C4
1641676  84216 581 10165 4301 59 6 gwa-t1 C3 C4
1641677  84216 581 10165 1692 59 6 gwa-t1 C3 C4
1641678  84216 581 10165 1928 59 6 gwa-t1 C3 C4
1641679  84216 581 10165 1001 59 6 gwa-t1 C3 C4
1641680  84216 581 10165 6170 59 6 gwa-t1 C3 C4
1641681  84216 581 10165  519 59 6 gwa-t1 C3 C4
1641682  84216 581 10165 5021 59 6 gwa-t1 C3 C4
1641683  84216 581 10165 3125 59 6 gwa-t1 C3 C4
1641684  84216 581 10165  466 59 6 gwa-t1 C3 C4
1641685  84216 581 10165 1730 59 6 gwa-t1 C3 C4
1641686  84216 581 10165 1489 59 6 gwa-t1 C3 C4
1641687  84216 581 10165 3113 59 6 gwa-t1 C3 C4
1641688  84216 581 10165 3899 59 6 gwa-t1 C3 C4
1641689  84216 581 10165 3234 59 6 gwa-t1 C3 C4
1641690  84216 581 10165 2213 59 6 gwa-t1 C3 C4
1641691  84216 581 10165 2600 59 6 gwa-t1 C3 C4
1641692  84216 581 10165  576 59 6 gwa-t1 C3 C4
1641693  84216 581 10165 3957 59 6 gwa-t1 C3 C4
1641694  84216 581 10165  335 59 6 gwa-t1 C3 C4
1641695  84216 581 10165 4667 59 6 gwa-t1 C3 C4
1641696  84216 581 10165 3838 59 6 gwa-t1 C3 C4
1641697  84216 581 10165 1019 59 6 gwa-t1 C3 C4
1641698  84216 581 10165 1236 59 6 gwa-t1 C3 C4
1641699  84216 581 10165 2017 59 6 gwa-t1 C3 C4
1641700  84216 581 10165 1490 59 6 gwa-t1 C3 C4
1641701  84216 581 10165 5196 59 6 gwa-t1 C3 C4
1641702  84216 581 10165 3195 59 6 gwa-t1 C3 C4
1641703  84216 581 10165 2406 59 6 gwa-t1 C3 C4
1641704  84216 581 10165  526 59 6 gwa-t1 C3 C4
1641705  84216 581 10165  702 59 6 gwa-t1 C3 C4
1641706  84216 581 10165 3518 59 6 gwa-t1 C3 C4
1641707  84216 581 10165 5670 59 6 gwa-t1 C3 C4
1641708  84216 581 10165 2468 59 6 gwa-t1 C3 C4
1641709  84216 581 10165 2718 59 6 gwa-t1 C3 C4
1641710  84216 581 10165 1942 59 6 gwa-t1 C3 C4
1641711  84216 581 10165 3149 59 6 gwa-t1 C3 C4
1641712  84216 581 10165  664 59 6 gwa-t1 C3 C4
1641713  84216 581 10165 3846 59 6 gwa-t1 C3 C4
1641714  84216 581 10165 3239 59 6 gwa-t1 C3 C4
1641715  84216 581 10165 4181 59 6 gwa-t1 C3 C4
1641716  84216 581 10165 1504 59 6 gwa-t1 C3 C4
1641717  84216 581 10165  896 59 6 gwa-t1 C3 C4
1641718  84216 581 10165 2825 59 6 gwa-t1 C3 C4
1641719  84216 581 10165  686 59 6 gwa-t1 C3 C4
1641720  84216 581 10165  946 59 6 gwa-t1 C3 C4
1641721  84216 581 10165 1258 59 6 gwa-t1 C3 C4
1641722  84216 581 10165 1404 59 6 gwa-t1 C3 C4
1641723  84216 581 10165 3374 59 6 gwa-t1 C3 C4
1641724  84216 581 10165 3107 59 6 gwa-t1 C3 C4
1641725  84216 581 10165 2056 59 6 gwa-t1 C3 C4
1641726  84216 581 10165 8097 59 6 gwa-t1 C3 C4
1641727  84216 581 10165 1417 59 6 gwa-t1 C3 C4
1641728  84216 581 10165 1133 59 6 gwa-t1 C3 C4
1641729  84216 581 10165  342 59 6 gwa-t1 C3 C4
1641730  84216 581 10165 5855 59 6 gwa-t1 C3 C4
1641731  84216 581 10165 3387 59 6 gwa-t1 C3 C4
1641732  84216 581 10165 1402 59 6 gwa-t1 C3 C4
1641733  84216 581 10165 3195 59 6 gwa-t1 C3 C4
1641734  84216 581 10165 3903 59 6 gwa-t1 C3 C4
1641735  84216 581 10165 1176 59 6 gwa-t1 C3 C4
1641736  84216 581 10165 3216 59 6 gwa-t1 C3 C4
1641737  84216 581 10165 2284 59 6 gwa-t1 C3 C4
1641738  84216 581 10165  973 59 6 gwa-t1 C3 C4
1641739  84216 581 10165 2364 59 6 gwa-t1 C3 C4
1641740  84216 581 10165 4020 59 6 gwa-t1 C3 C4
1641741  84216 581 10165 1939 59 6 gwa-t1 C3 C4
1641742  84216 581 10165 2637 59 6 gwa-t1 C3 C4
1641743  84216 581 10165 3022 59 6 gwa-t1 C3 C4
1641744  84216 581 10165 2988 59 6 gwa-t1 C3 C4
1641745  84216 581 10165 3349 59 6 gwa-t1 C3 C4
1641746  84216 581 10165 1304 59 6 gwa-t1 C3 C4
1641747  84216 581 10165 5678 59 6 gwa-t1 C3 C4
1641748  84216 581 10165  487 59 6 gwa-t1 C3 C4
1641749  84216 581 10165 1277 59 6 gwa-t1 C3 C4
1641750  84216 581 10165  549 59 6 gwa-t1 C3 C4
1641751  84216 581 10165 2431 59 6 gwa-t1 C3 C4
1641752  84216 581 10165 3260 59 6 gwa-t1 C3 C4
1641753  84216 581 10165 4578 59 6 gwa-t1 C3 C4
1641754  84216 581 10165 3210 59 6 gwa-t1 C3 C4
1641755  84216 581 10165 2152 59 6 gwa-t1 C3 C4
1641756  84216 581 10165 1595 59 6 gwa-t1 C3 C4
1641757  84216 581 10165 3130 59 6 gwa-t1 C3 C4
1641758  84216 581 10165 5988 59 6 gwa-t1 C3 C4
1641759  84216 581 10165 2858 59 6 gwa-t1 C3 C4
1641760  84216 581 10165  993 59 6 gwa-t1 C3 C4
1641761  84216 581 10165 4333 59 6 gwa-t1 C3 C4
1641762  84216 581 10165 2497 59 6 gwa-t1 C3 C4
1641763  84216 581 10165 3993 59 6 gwa-t1 C3 C4
1641764  84216 581 10165 3144 59 6 gwa-t1 C3 C4
1641765  84216 581 10165 2564 59 6 gwa-t1 C3 C4
1641766  84216 581 10165 1833 59 6 gwa-t1 C3 C4
1641767  84216 581 10165 1692 59 6 gwa-t1 C3 C4
1641768  84216 581 10165 2308 59 6 gwa-t1 C3 C4
1641769  84216 581 10165 3950 59 6 gwa-t1 C3 C4
1641770  84216 581 10165 1683 59 6 gwa-t1 C3 C4
1641771  84216 581 10165 1093 59 6 gwa-t1 C3 C4
1641772  84216 581 10165  964 59 6 gwa-t1 C3 C4
1641773  84216 581 10165 4718 59 6 gwa-t1 C3 C4
1641774  84216 581 10165 4444 59 6 gwa-t1 C3 C4
1641775  84216 581 10165 3942 59 6 gwa-t1 C3 C4
1641776  84216 581 10165 3756 59 6 gwa-t1 C3 C4
1641777  84216 581 10165 3411 59 6 gwa-t1 C3 C4
1641778  84216 581 10165 4002 59 6 gwa-t1 C3 C4
1641779  84216 581 10165 1294 59 6 gwa-t1 C3 C4
1641780  84216 581 10165 3677 59 6 gwa-t1 C3 C4
1641781  84216 581 10165 4450 59 6 gwa-t1 C3 C4
1641782  84216 581 10165 3502 59 6 gwa-t1 C3 C4
1641783  84216 581 10165 3268 59 6 gwa-t1 C3 C4
1641784  84216 581 10165 3672 59 6 gwa-t1 C3 C4
1641785  84216 581 10165 2949 59 6 gwa-t1 C3 C4
1641786  84216 581 10165 2028 59 6 gwa-t1 C3 C4
1641787  84216 581 10165 6493 59 6 gwa-t1 C3 C4
1641788  84216 581 10165 1779 59 6 gwa-t1 C3 C4
1641789  84216 581 10165 2781 59 6 gwa-t1 C3 C4
1641790  84216 581 10165 2711 59 6 gwa-t1 C3 C4
1641791  84216 581 10165 5075 59 6 gwa-t1 C3 C4
1641792  84216 581 10165 1823 59 6 gwa-t1 C3 C4
1641793  84216 581 10165  960 59 6 gwa-t1 C3 C4
1641794  84216 581 10165 2247 59 6 gwa-t1 C3 C4
1641795  84216 581 10165 1719 59 6 gwa-t1 C3 C4
1641796  84216 581 10165 2337 59 6 gwa-t1 C3 C4
1641797  84216 581 10165 6205 59 6 gwa-t1 C3 C4
1641798  84216 581 10165 1827 59 6 gwa-t1 C3 C4
1641799  84216 581 10165 1736 59 6 gwa-t1 C3 C4
1641800  84216 581 10165 1686 59 6 gwa-t1 C3 C4
1641801  84216 581 10165 3812 59 6 gwa-t1 C3 C4
1641802  84216 581 10165 5104 59 6 gwa-t1 C3 C4
