submissionTime jobId numberOfTasks avgRuntime tasks userId peerId
1894 3 1 234 234 19 6 
26696 19 1 338 338 1 6 
26394 16 8 935 628;1015;1511;1211;595;1213;786;518 1 6 
26485 17 3 1154 1288;726;1448 37 7 
26943 21 3 1201 1200;1252;1150 1 6 
27192 22 2 890 692;1088 13 7 
27463 23 2 734 568;900 2 6 
27532 25 1 961 961 1 6 
27668 27 6 587 545;303;698;973;437;566 1 6 
27672 28 1 1077 1077 6 12 
27522 24 2 1292 1349;1234 1 6 
27696 29 3 793 821;331;1226 12 12 
27880 30 1 1453 1453 1 6 
28996 38 2 1298 939;1656 19 6 
29260 44 7 710 272;1621;854;450;887;376;513 1 6 
30477 46 9 940 145;945;1313;748;1023;1610;1344;1026;310 2 6 
31913 54 1 1035 1035 2 6 
33008 63 1 194 194 1 6 
32912 61 1 1462 1462 4 2 
33158 67 11 682 586;1144;696;98;1339;824;957;1071;372;140;274 1 6 
33144 66 4 1006 965;1525;976;559 1 6 
33996 72 1 849 849 2 6 
34029 73 15 1048 1138;1516;214;1212;698;1569;1639;1291;1141;456;551;1441;1549;728;581 4 2 
34660 75 3 720 623;1123;413 5 11 
35049 78 1 971 971 25 2 
36901 83 3 648 883;381;679 39 6 
36746 80 5 655 96;946;497;627;1108 1 6 
37022 85 2 652 971;333 85 11 
37850 93 1 1082 1082 1 6 
38086 96 3 700 387;929;784 2 6 
38445 99 2 622 604;639 157 6 
38007 94 2 957 1084;830 332 6 
39451 107 1 326 326 2 6 
39520 108 6 837 627;641;570;1070;706;1407 1 6 
39652 111 3 907 1580;147;995 1 6 
39808 113 11 782 772;159;347;409;1491;925;629;767;832;884;1388 5 11 
40319 115 1 1334 1334 7 11 
41357 122 1 585 585 2 6 
41071 117 3 848 809;780;956 1 6 
41222 118 1 1214 1214 2 6 
41314 121 1 1533 1533 2 6 
42534 130 1 484 484 5 11 
42521 129 3 590 422;704;644 3 15 
42164 125 13 1152 1246;1578;857;787;1581;928;1042;1237;1719;1341;619;1368;679 3 15 
42565 131 3 1264 1282;1376;1133 1 6 
42411 127 2 1448 1304;1591 1 6 
42672 132 13 875 1465;1178;838;1622;880;331;686;805;978;649;1373;445;121 1 6 
42999 136 3 1202 1203;924;1479 1 6 
42962 134 5 1047 1619;891;768;848;1108 135 11 
43562 138 3 910 1050;662;1017 1 6 
44857 154 1 319 319 11 11 
44667 151 1 678 678 2 6 
43837 143 3 1120 715;1032;1613 1 6 
44045 145 5 1024 998;837;991;1434;859 1 6 
42943 133 50 876 446;736;681;452;769;1536;727;678;467;537;1034;878;731;811;1319;815;365;1324;606;1370;1093;975;746;1489;1213;922;734;1257;615;957;303;207;868;986;642;929;1354;549;201;908;1538;1488;862;1078;904;1137;308;1284;1092;865 7 11 
45152 157 2 513 461;564 9 15 
44820 153 2 734 942;525 1 6 
44465 148 3 1219 1404;1426;826 2 6 
44784 152 3 755 1170;477;618 5 11 
45722 160 1 249 249 11 11 
45104 156 3 814 1023;527;891 1 6 
45488 158 1 857 857 1 6 
44928 155 12 905 1545;1126;688;676;1296;1131;875;462;1579;573;610;300 1 6 
45538 159 2 737 1049;425 1 6 
45774 161 5 768 577;1149;1162;346;605 2 6 
46336 166 4 816 874;462;884;1043 1 6 
46588 167 3 877 1010;952;669 3 15 
46620 168 5 778 873;995;689;405;930 1 6 
49115 180 5 907 473;1200;744;893;1225 149 19 
49312 182 7 880 420;1182;359;1095;1173;896;1035 1 6 
49613 184 2 830 964;695 1 6 
49564 183 14 1027 1300;1138;846;1158;872;1384;288;1281;1263;1140;1270;573;1520;347 1 6 
49830 185 8 874 1249;988;327;882;1522;693;784;547 2 6 
53557 197 1 1232 1232 1 6 
54221 203 1 870 870 74 7 
54196 202 4 676 665;808;171;1058 1 6 
53948 198 1 1384 1384 1 6 
54055 199 6 954 1072;1389;884;1297;406;678 295 6 
54069 200 3 870 1434;330;845 2 6 
54331 205 8 992 1175;1130;435;1002;832;1463;1062;837 1 6 
56026 208 3 931 142;1311;1339 1 6 
56431 212 4 920 1039;938;1081;622 1 6 
56751 215 2 751 183;1319 1 6 
57465 219 3 790 390;1123;858 2 6 
58386 221 1 877 877 1 6 
59864 228 1 594 594 1 6 
59277 226 8 737 1053;1121;894;1228;535;286;122;660 7 11 
59634 227 1 875 875 1 6 
59912 229 9 778 776;1059;729;633;848;1113;619;454;767 1 6 
60466 232 4 761 966;1074;203;802 14 9 
61415 235 1 976 976 1 6 
65799 244 1 220 220 42 6 
65594 242 2 913 1035;791 1 6 
65819 245 15 815 1026;603;203;723;569;1294;1324;979;236;881;755;1285;1233;968;153 1 6 
75667 268 1 94 94 1 6 
75926 269 3 831 1007;1007;478 3 15 
84947 279 21 873 688;862;1086;1177;1008;725;483;910;1381;626;922;851;996;478;520;895;1726;784;865;494;865 4 2 
