MachineName Time Duracao
OUYAR	1062597562	2824
RITKE-PC	1062597849	3854
CCWONG-PC	1062598952	900
ABLATECKY-PC	1062598953	900
DUSTINS-PC	1062598953	900
SHERWIN-2K	1062598953	900
LEAH-2K	1062598961	900
IGOR-PC	1062598967	900
SCHUI-PC	1062598985	900
LPW24	1062599004	1284
WATCHIT	1062599025	900
T-PISCSIS	1062599058	900
TAMMYB-PC	1062599091	958
CHRISMAN-2K	1062599102	900
HAWK1-PC	1062599137	9263
STOCKS-PC	1062599138	6631
AMAER-PC	1062599143	900
GENOME-2K	1062599155	2700
KATE-2K	1062599159	900
BWEST-PC2	1062599162	900
VISPC-6	1062599191	900
LCARLSON-PC	1062599204	900
DONBOT	1062599204	1829
LPW25	1062599210	4727
DZHOU-PC	1062599261	900
KSTOCKS2-PC	1062599261	900
LINDA-PC	1062599261	900
AMOREIRA-PC	1062599262	4957
GRIBSKOV-PC	1062599263	900
CSMITH-PC	1062599264	900
TRACTOR-2K	1062599264	9136
BLUESCREEN	1062599267	8522
DING-2K	1062599271	900
T-ERIDAN	1062599275	900
T-SIRIUS	1062599277	9123
T-DRAGO	1062599278	9122
AKIRA	1062599279	900
PRUDENCE	1062599284	9116
REALVIDEO-2K	1062599285	900
T-KENT	1062599287	9113
T-CANCER	1062599293	9107
CUTCHIN2-PC	1062599320	5726
SAUNDERS-PC	1062599320	6570
YOHAN-PC	1062599322	9078
DESHPANDE-PC	1062599323	900
WOOLEY-PC	1062599324	1824
BENDER	1062599330	9070
CRB158A-1	1062599339	900
T-WOLF	1062599381	9019
T-VIRGO	1062599387	9013
T-ROSS	1062599389	900
T-CETI	1062599396	9004
T-INDI	1062599401	7541
HJASSO	1062599403	901
T-SOL	1062599408	8992
T-BESSEL	1062599413	7598
377-PC	1062599441	900
FLEXO	1062599441	8959
BEHERE-2K	1062599444	4719
PUBLIC-PC	1062599449	5684
STECKLER2-PC	1062599450	900
HAWK3-PC	1062599495	900
T-ALTAIR	1062599497	900
ALTINTAS-2K	1062599503	900
MINIME	1062599505	1880
NOT-PC	1062599572	2826
BERMAN-PC	1062599623	900
OJHA-PC	1062599624	8776
DAN	1062599625	900
LPW12	1062599626	2845
KAMRATHA-PC	1062599632	900
SLAWEK-2K	1062599634	900
T-CYGNUS	1062599634	6599
RAGHU-PC	1062599653	901
STEWART-2K	1062599665	6688
DONATE1-PC	1062599694	900
WINWIZZA	1062599695	5660
LAWRENCE-2K	1062599700	2831
VOYAGER-2K	1062599702	1887
MNAIR-PC	1062599702	2769
POTOROO-2K	1062599715	900
MWAN-2K	1062599725	1907
PROWLER-PC	1062599748	5621
CRB-CONF-PC	1062599750	2764
408-PC	1062599750	4650
LPW11	1062599754	2904
LPW26	1062599756	4709
WISHBONE-2K	1062599786	900
MAXIMUS-PC	1062599801	900
LAGRANGE-2K	1062599825	901
KG	1062599919	900
BLATECKY-ADMIN	1062599923	2375
CHANDA-2K	1062599987	5652
ENS-GUEST-PC	1062599992	900
CECEROSE	1062600033	5731
SHANKAR3-PC	1062600043	1869
LPW14	1062600048	900
LEAH-2K	1062600053	900
LPW7	1062600056	1861
462-PC	1062600101	1866
WATCHIT	1062600126	900
ANDREWS-PC	1062600233	1878
LCARLSON-PC	1062600242	2839
ANNALISA-PC	1062600248	8152
PHLEBOTOMIST	1062600252	900
T-PISCSIS	1062600260	2817
VISPC-6	1062600279	900
SUTTON-PC	1062600297	900
T-ERIDAN	1062600297	8103
SLYON-2K	1062600298	3790
AKIRA	1062600303	8097
REALVIDEO-2K	1062600308	1863
DZHOU-PC	1062600312	900
DING-2K	1062600312	4760
CRB158A-1	1062600367	900
LINDA-PC	1062600417	900
T-ROSS	1062600424	7976
377-PC	1062600469	4695
KATE-2K	1062600478	900
MARCIANO-2K	1062600488	900
NING-PC	1062600489	901
OUYAR	1062600510	6749
KSTOCKS2-PC	1062600541	1854
DESHPANDE-PC	1062600586	7814
T-ALTAIR	1062600587	1823
ALTINTAS-2K	1062600591	4690
NESTLE-2K	1062600620	900
CENON-2K	1062600625	900
ABLATECKY-PC	1062600641	900
DUSTINS-PC	1062600642	900
VNANDIGAM-PC	1062600642	4640
HJASSO	1062600646	900
MOORE1-PC	1062600659	900
AMAER-PC	1062600711	900
CSMITH-PC	1062600713	900
SLAWEK-2K	1062600714	900
STECKLER2-PC	1062600719	900
KILDA	1062600721	2815
AUDITORIUM-PC	1062600763	900
DONATE1-PC	1062600765	900
JCZECH-2K	1062600790	1971
KAMRATHA-PC	1062600830	900
SHINDYALOV-2K	1062600841	900
SIMAST-2K	1062600851	1020
BERMAN-PC	1062600890	4710
KG	1062600954	4650
CCWONG-PC	1062600955	1822
SHERWIN-2K	1062600958	900
GREENACRES	1062600959	900
HAWK3-PC	1062601010	900
POTOROO-2K	1062601151	900
GRIBSKOV-PC	1062601195	900
SCHUI-PC	1062601202	901
DONBOT	1062601205	5691
AKZO	1062601210	7190
WATCHIT	1062601216	900
BIGBEAR-2K	1062601231	900
LPW14	1062601252	900
WOOLEY-PC	1062601268	4707
LPW24	1062601275	1437
BIGBERTHA	1062601310	900
SEKAR-2K	1062601378	900
RAGHU-PC	1062601498	900
EUROPA-PC	1062601498	973
KATE-2K	1062601508	905
MINIME	1062601560	5653
BWEST-PC2	1062601572	900
BREDDY-PC	1062601573	900
SUTTON-PC	1062601575	900
MAXIMUS-PC	1062601576	900
LEAH-2K	1062601579	900
MARCIANO-2K	1062601580	900
WISHBONE-2K	1062601596	900
LINDA-PC	1062601622	900
CRB158A-1	1062601630	900
BOWERS-PC	1062601678	900
DUSTINS-PC	1062601678	900
HJASSO	1062601685	900
DAN	1062601758	900
RITKE-PC	1062601827	3805
JOLAN-2K	1062601855	900
LPW16	1062601985	900
NESTLE-2K	1062602000	900
T-LEO	1062602051	1857
T-KRUGER	1062602055	6345
VOYAGER-2K	1062602063	900
KAMRATHA-PC	1062602103	900
DMITRY-2K	1062602148	900
ENS-GUEST-PC	1062602170	900
FLERI-PC	1062602170	900
HAWK3-PC	1062602222	4752
IBSPC1	1062602229	900
AUDITORIUM-PC	1062602279	900
GUPTA-PC	1062602297	1859
SHINDYALOV-2K	1062602312	1921
GENOME-2K	1062602333	4341
SHERWIN-2K	1062602334	1878
REALVIDEO-2K	1062602341	2790
POTOROO-2K	1062602362	900
LN1	1062602394	900
STECKLER2-PC	1062602402	900
462-PC	1062602403	900
GREENACRES	1062602454	900
LPW14	1062602455	900
IRENE-PC	1062602455	5629
BLATECKY-ADMIN	1062602470	3528
ABLATECKY-PC	1062602514	900
SEKAR-2K	1062602520	1875
PANCAKE-PC	1062602536	900
MNAIR-PC	1062602594	2813
MARCIANO-2K	1062602616	900
CENON-2K	1062602622	900
KSTOCKS2-PC	1062602637	900
RAGHU-PC	1062602645	900
CLARA	1062602651	1818
LPW12	1062602770	900
BWEST-PC2	1062602776	900
T-ALTAIR	1062602776	3847
WATCHIT	1062602778	900
LPW11	1062602816	900
LINDA-PC	1062602821	1822
CSMITH-PC	1062602823	900
GRIBSKOV-PC	1062602830	2906
SIMAST-2K	1062602830	3250
LAWRENCE-2K	1062602831	900
CRB-CONF-PC	1062602834	2810
LEAH-2K	1062602837	900
MAXIMUS-PC	1062602876	900
AMAER-PC	1062602941	900
DONATE1-PC	1062602941	900
NOT-PC	1062602942	3790
JOLAN-2K	1062602943	900
SUTTON-PC	1062602945	1831
BREDDY-PC	1062602964	900
CCWONG-PC	1062603003	2820
SLAWEK-2K	1062603006	900
DAN	1062603007	900
LPW21	1062603013	900
SHANKAR4-PC	1062603031	900
LPW22	1062603058	976
CHIMCHIM	1062603067	900
EUROPA-PC	1062603124	900
MOORE1-PC	1062603190	900
MAFALDA	1062603197	900
NESTLE-2K	1062603210	900
T-PISCSIS	1062603219	5181
LCARLSON-PC	1062603252	5148
BORG-2K	1062603313	900
