time jobId jobSize runtime tasks user peer
623 1 5 748 1046;626;475;1120;472 3 2
1061 2 3 809 1014;471;943 7 4
1250 3 5 908 962;1163;218;1030;1166 67 2
6091 4 5 753 435;490;891;1601;350 1 3
6363 5 4 805 1224;747;401;847 1 3
6771 6 11 971 1000;1321;877;1232;1332;774;536;1641;1080;311;578 19 6
7780 7 12 900 1324;1012;223;1213;786;1003;1181;112;1178;499;1341;922 1 3
13198 8 13 960 1309;477;458;484;1181;1087;945;1183;1045;971;1241;1181;919 2 4
13670 9 2 1230 1410;1049 1 3
20167 10 5 1152 304;1509;1515;1094;1340 78 1
20194 11 13 1019 815;967;1582;1336;1074;1669;767;1454;548;346;1163;1216;316 3 2
20214 12 3 964 1081;906;905 1 3
20459 13 2 1242 1427;1057 1 3
20665 14 1 531 531 340 1
20807 15 1 1142 1142 13 1
20818 16 2 988 783;1193 6 5
20840 17 8 764 705;1057;209;572;1175;1006;659;725 2 4
21389 18 3 855 1037;896;632 109 2
21401 19 2 906 1128;683 3 2
21869 20 7 866 858;965;936;1015;825;649;815 9 9
22078 21 5 886 443;1227;1157;919;686 313 1
22198 22 3 420 723;444;93 2 4
22206 23 10 748 61;672;661;709;1414;1194;1165;615;735;252 2 4
22283 24 3 1027 548;1645;889 33 1
22386 25 2 276 333;218 2 4
22419 26 3 1182 534;1709;1304 111 9
22586 27 2 500 290;711 11 1
22794 28 6 996 496;835;1128;1379;1287;850 24 1
22812 29 6 1072 1334;1479;933;1509;765;409 36 3
23270 30 1 420 420 20 4
23397 31 6 1019 732;847;979;1176;1578;802 1 3
23403 32 4 1039 591;1050;1738;776 1 3
23456 33 3 746 461;1348;430 194 9
23470 34 2 1336 1207;1466 46 1
23515 35 2 1113 1117;1109 2 4
23533 36 8 674 1160;854;336;339;634;987;621;463 13 1
23585 37 2 1092 919;1264 17 3
23631 38 2 898 820;977 41 2
23955 39 30 854 1554;1214;738;1002;824;375;1160;467;986;734;731;1037;388;1109;677;976;1056;143;1125;1212;891;71;1017;463;258;958;1184;1470;1012;793 2 4
23962 40 2 1328 1283;1373 2 4
24014 41 13 916 1086;661;1343;790;529;610;947;1416;617;1549;987;137;1230 1 3
24315 42 3 1312 1558;1297;1082 293 9
24473 43 2 804 528;1081 2 4
24544 44 8 735 284;943;1271;1195;583;532;127;942 16 6
24742 45 2 1398 1354;1442 1 3
25237 46 3 755 801;620;845 1 3
25264 47 2 586 567;606 2 4
25536 48 10 797 675;698;1188;1434;186;666;1733;960;205;225 17 3
25621 49 1 1178 1178 18 8
25687 50 4 727 179;675;1022;1032 6 5
25876 51 1 976 976 27 3
25881 52 3 1125 980;1275;1119 2 4
25920 53 4 1086 1191;1156;799;1197 105 3
26035 54 9 753 112;920;921;710;227;1138;849;1377;524 2 4
26094 55 1 883 883 2 4
26126 56 6 982 753;1129;1431;657;1085;836 2 4
26170 57 3 1081 1115;721;1407 15 2
26827 58 4 1110 800;1096;1174;1370 3 2
27294 59 11 961 1683;880;1285;439;1180;1117;116;1056;1024;832;963 346 2
27387 60 6 984 1432;1100;614;927;272;1562 23 3
27470 61 7 733 681;564;1236;797;762;831;257 8 6
27678 62 5 742 101;631;958;610;1412 3 2
27715 63 17 733 233;711;482;1621;876;731;135;484;697;1225;840;1391;490;161;1070;658;664 89 3
27889 64 3 540 721;644;254 205 5
27990 65 4 836 1027;402;1049;868 2 4
28027 66 2 1582 1568;1595 2 4
28383 67 10 931 747;673;1112;1114;931;404;940;1439;884;1068 1 3
28572 68 3 882 218;1434;993 31 7
29544 69 3 773 1294;636;388 1 3
29705 70 2 1244 1315;1173 3 2
29736 71 5 1112 528;1222;1628;1307;877 3 2
29841 72 2 1084 866;1302 50 9
30084 73 3 775 935;704;686 2 4
30167 74 6 910 1095;815;1268;1004;392;887 1 3
30248 75 5 864 739;503;759;824;1493 83 8
30323 76 9 838 1187;896;448;480;669;1164;1204;583;910 2 4
30469 77 2 1014 675;1354 2 4
30476 78 2 1130 719;1542 3 2
30509 79 3 475 83;650;691 148 7
30558 80 3 980 1174;838;927 1 3
30580 81 5 830 990;974;472;1073;642 26 8
30614 82 3 1309 1082;1642;1203 6 5
30864 83 1 875 875 3 2
30932 84 6 758 1274;1370;242;841;252;569 5 7
31021 85 7 848 135;649;494;1327;901;984;1448 326 7
31192 86 10 937 858;1656;1230;806;500;1380;571;1141;792;438 1 3
31294 87 10 822 1156;1103;1115;542;700;1210;417;506;697;770 2 4
31306 88 1 970 970 5 7
31350 89 3 1145 937;1378;1121 3 2
31397 90 4 964 1390;498;1272;697 1 3
31496 91 6 923 424;544;1543;1041;993;993 3 2
31612 92 2 965 890;1040 3 2
32100 93 3 1052 1259;1073;823 1 3
32227 94 3 1102 1419;1706;181 1 3
32398 95 2 940 844;1035 2 4
32562 96 2 1054 1266;841 1 3
32916 97 6 948 1049;847;227;1378;827;1357 1 3
33053 98 18 915 538;322;1392;988;982;455;398;1515;1315;1638;511;1071;553;584;1013;856;1311;1033 6 5
33057 99 2 865 621;1109 185 9
33116 100 2 898 575;1220 1 3
33132 101 6 686 630;146;1210;165;903;1062 51 7
33380 102 5 814 1077;1036;1055;583;321 2 4
33487 103 6 1017 869;1107;1216;728;1536;647 77 4
33625 104 1 1520 1520 3 2
33633 105 5 751 1217;746;832;462;497 4 9
33702 106 3 1295 1036;1541;1309 1 3
34203 107 2 495 137;853 141 5
34325 108 3 773 588;728;1003 22 7
34797 109 5 804 1062;232;746;894;1085 1 3
34810 110 2 1137 1112;1162 2 4
34848 111 5 1015 1093;1004;980;968;1030 27 3
34915 112 38 837 1405;106;1292;1332;616;704;596;248;1340;797;1027;1085;372;1003;633;864;663;540;1134;1230;760;460;1186;640;441;1651;775;425;668;1293;1118;1091;270;409;257;1055;1374;949 1 3
35079 113 14 928 1473;318;1117;967;1232;950;1223;95;1565;767;680;776;981;852 1 3
35142 114 3 845 709;891;935 1 3
35259 115 2 364 205;522 5 7
35365 116 12 865 639;667;964;1063;950;526;1247;159;1166;1323;358;1315 173 8
35421 117 2 442 781;104 3 2
35450 118 15 770 873;858;1186;1093;1002;658;237;757;1198;569;837;550;551;707;480 1 3
35480 119 4 769 663;742;964;707 1 3
35888 120 2 1054 677;1430 7 4
36040 121 9 849 1011;930;1325;935;528;398;1026;591;901 6 5
36051 122 1 1013 1013 2 4
36079 123 5 995 940;1398;580;449;1606 2 4
36182 124 4 776 313;645;1237;911 10 8
36488 125 7 893 1166;885;569;996;1048;495;1090 145 1
36631 126 1 562 562 321 7
36650 127 6 941 1173;885;1407;919;545;715 95 5
37360 128 6 804 1483;1161;866;705;526;82 134 1
37446 129 7 871 1130;564;1071;710;624;1119;879 120 2
37500 130 3 1256 1139;1468;1162 164 1
37642 131 4 1077 1387;535;991;1395 5 7
37745 132 2 606 208;1005 1 3
37787 133 13 780 737;695;711;733;337;500;717;913;1060;420;1570;781;963 1 3
37841 134 2 1076 1153;999 3 2
37889 135 3 775 985;759;581 2 4
38049 136 2 764 899;629 2 4
38114 137 2 1209 1729;689 1 3
38220 138 2 826 857;794 5 7
38255 139 7 889 498;861;1320;544;654;1390;953 1 3
38490 140 18 930 545;883;974;1138;744;973;1446;1035;1071;1585;648;250;786;850;623;1291;437;1470 33 1
38497 141 2 776 658;895 29 9
38655 142 2 1089 1153;1025 11 1
39123 143 3 985 1375;820;761 3 2
39313 144 25 920 898;790;798;1376;1165;1294;412;962;737;1460;1040;1124;913;1635;500;1108;884;467;667;634;496;1199;1314;653;474 9 9
40875 145 2 1058 951;1165 19 6
41037 146 31 885 684;645;1021;659;311;1106;219;550;485;1087;855;701;839;733;870;1155;703;1676;1241;916;977;1157;908;1307;643;1010;873;626;1544;880;1040 12 6
41092 147 1 1072 1072 3 2
41560 148 21 1026 1060;734;1074;765;1191;1336;1645;482;610;1366;1412;695;1269;740;794;1074;1001;1036;569;1193;1501 57 1
41820 149 1 1056 1056 2 4
41845 150 2 1190 740;1641 1 3
42527 151 3 648 1034;407;504 8 6
42566 152 6 797 1351;690;551;1096;675;419 174 7
42580 153 2 842 1089;595 5 7
42612 154 15 996 820;1115;1397;1612;507;569;587;717;657;1158;275;1021;1537;1607;1360 131 6
42621 155 2 846 644;1048 4 9
42659 156 2 574 369;780 149 5
42978 157 3 882 1053;1246;347 327 2
43008 158 10 1032 1112;775;592;902;1546;1696;1032;1373;914;383 8 6
43189 159 6 760 1070;721;1026;374;777;594 3 2
43404 160 2 1536 1384;1689 115 9
43692 161 4 715 347;756;299;1458 1 3
43707 162 2 876 930;821 1 3
43995 163 2 1238 1375;1101 6 5
44118 164 8 762 579;1094;554;931;690;803;827;617 1 3
44426 165 3 1051 632;1290;1232 1 3
44523 166 1 117 117 53 7
44671 167 2 842 627;1058 2 4
44843 168 3 905 308;1427;980 8 6
