time jobId jobSize runtime tasks user
398 1 12 725 579;956;243;609;1253;591;359;698;1175;751;925;566 163
957 2 34 726 654;876;1048;921;651;1335;955;271;819;785;111;128;394;1161;755;989;448;818;912;798;1122;633;339;1003;903;299;699;920;237;924;231;1168;1107;263 9
1837 3 6 645 549;189;955;839;960;377 6
2903 4 3 657 662;825;483 19
3434 5 11 619 511;663;386;886;1415;338;289;1201;432;347;339 2
3560 6 6 598 490;1310;383;252;577;576 3
5588 7 1 662 662 38
12023 8 2 697 804;590 50
18231 9 2 699 896;502 337
18414 10 2 322 182;461 3
18501 11 10 694 779;745;532;699;514;590;803;405;1033;844 5
18551 12 1 1391 1391 10
18576 13 6 681 1162;326;712;504;347;1036 8
18612 14 4 745 868;649;863;601 3
19002 15 2 863 463;1263 32
19427 16 4 633 1141;386;651;353 1
19735 17 2 456 473;439 1
19768 18 3 438 349;487;477 1
19810 19 4 658 956;501;398;775 7
19830 20 2 666 572;759 91
19898 21 6 771 1257;627;626;903;251;963 15
20140 22 5 724 603;1001;679;693;646 1
20246 23 2 887 485;1289 1
20248 24 2 246 63;430 64
20510 25 2 546 724;368 33
20618 26 4 882 734;509;1076;1210 132
20815 27 3 906 1017;1081;621 2
20962 28 2 470 796;145 6
21089 29 2 865 994;736 1
21106 30 2 302 353;252 96
21227 31 6 523 112;443;110;1219;704;550 253
21234 32 5 695 413;747;398;951;968 2
22710 33 2 278 279;276 1
23158 34 2 396 295;497 1
23182 35 11 762 472;610;629;1393;746;1031;1326;814;788;266;302 3
23190 36 2 502 727;278 23
23306 37 4 677 841;1019;192;655 5
23319 38 9 689 692;503;346;471;873;961;1163;707;483 1
23422 39 2 618 660;576 1
23759 40 4 547 75;456;1163;493 2
23872 41 7 783 1343;398;779;951;433;801;773 2
23945 42 2 782 683;882 310
24158 43 4 320 230;382;236;433 10
24454 44 16 655 487;577;1075;359;591;1098;1044;103;362;932;446;758;794;712;204;931 174
24482 45 2 788 1043;533 2
24513 46 9 629 1084;300;1011;353;418;1021;784;530;161 11
24564 47 2 632 533;732 23
24575 48 21 714 764;73;453;214;306;1023;844;799;804;580;1347;448;877;906;754;1231;244;511;723;998;1085 5
24620 49 10 756 866;932;188;763;1382;484;640;902;347;1060 2
24650 50 2 852 1212;492 1
24991 51 2 628 603;654 16
24996 52 2 629 825;433 2
25066 53 2 484 210;757 38
25068 54 2 376 180;572 5
25109 55 7 440 96;467;412;320;678;656;449 2
25144 56 3 697 284;1170;636 1
25196 57 4 553 712;709;355;436 74
25268 58 2 818 780;857 1
25302 59 4 501 314;848;68;774 1
25356 60 4 522 440;103;871;672 51
25390 61 2 409 344;474 1
25433 62 5 784 1223;591;492;903;713 3
25536 63 9 751 898;1354;945;494;558;452;282;1180;597 6
25560 64 1 1236 1236 12
25583 65 5 483 402;922;493;382;214 1
25591 66 2 600 633;568 4
25997 67 1 1439 1439 21
26045 68 4 574 663;520;102;1012 4
26090 69 6 592 794;974;741;545;152;346 5
26169 70 2 734 579;888 4
26213 71 3 417 384;177;690 8
26312 72 3 453 337;116;907 1
26347 73 4 462 581;214;208;845 5
26366 74 3 536 389;291;927 2
26678 75 4 879 1193;685;501;1137 123
26694 76 2 348 248;447 4
27003 77 3 748 1134;724;387 2
27043 78 12 692 640;1349;1138;569;506;579;492;621;416;234;1162;604 176
27061 79 2 472 193;750 6
27125 80 7 760 562;697;555;1091;805;510;1102 1
27170 81 2 956 784;1129 175
27197 82 2 926 1230;621 16
28020 83 2 499 753;245 1
28108 84 3 626 344;1028;506 4
28549 85 3 523 1030;234;304 1
28637 86 2 854 1064;643 5
28682 87 2 630 834;427 20
28722 88 11 683 1195;690;395;170;1031;333;516;760;1314;570;541 1
28814 89 1 591 591 1
28925 90 2 520 183;858 7
28938 91 14 810 1088;101;1396;681;929;671;649;1100;959;548;1434;598;647;535 1
29123 92 29 713 1134;1299;1251;685;1238;370;513;943;671;137;1124;441;506;164;1009;488;364;1017;891;576;218;1000;1089;624;398;1025;423;583;505 2
