taskId time jobId jobSize runtime user peer
    1    358    1    1    93  47 14
    2    611    2  203   578   1  8
    3    611    2  203   285   1  8
    4    611    2  203  1658   1  8
    5    611    2  203   639   1  8
    6    611    2  203  2394   1  8
    7    611    2  203  2076   1  8
    8    611    2  203   970   1  8
    9    611    2  203  2876   1  8
   10    611    2  203  1433   1  8
   11    611    2  203   785   1  8
   12    611    2  203  2123   1  8
   13    611    2  203  1214   1  8
   14    611    2  203  2061   1  8
   15    611    2  203  1745   1  8
   16    611    2  203  1009   1  8
   17    611    2  203  1153   1  8
   18    611    2  203  1710   1  8
   19    611    2  203  1635   1  8
   20    611    2  203   798   1  8
   21    611    2  203   890   1  8
   22    611    2  203  1042   1  8
   23    611    2  203  1040   1  8
   24    611    2  203  1844   1  8
   25    611    2  203   827   1  8
   26    611    2  203  1151   1  8
   27    611    2  203   207   1  8
   28    611    2  203  3190   1  8
   29    611    2  203   872   1  8
   30    611    2  203  1467   1  8
   31    611    2  203   706   1  8
   32    611    2  203  2527   1  8
   33    611    2  203  3324   1  8
   34    611    2  203  1284   1  8
   35    611    2  203  3419   1  8
   36    611    2  203   823   1  8
   37    611    2  203   952   1  8
   38    611    2  203  1370   1  8
   39    611    2  203  1201   1  8
   40    611    2  203  3817   1  8
   41    611    2  203   625   1  8
   42    611    2  203  4404   1  8
   43    611    2  203  1167   1  8
   44    611    2  203  2227   1  8
   45    611    2  203   949   1  8
   46    611    2  203  4519   1  8
   47    611    2  203  2521   1  8
   48    611    2  203   977   1  8
   49    611    2  203  6009   1  8
   50    611    2  203  3061   1  8
   51    611    2  203   889   1  8
   52    611    2  203  1041   1  8
   53    611    2  203  2360   1  8
   54    611    2  203   944   1  8
   55    611    2  203   342   1  8
   56    611    2  203   370   1  8
   57    611    2  203  6107   1  8
   58    611    2  203  1465   1  8
   59    611    2  203  4061   1  8
   60    611    2  203   940   1  8
   61    611    2  203  1605   1  8
   62    611    2  203  1981   1  8
   63    611    2  203   693   1  8
   64    611    2  203   959   1  8
   65    611    2  203  1032   1  8
   66    611    2  203  1341   1  8
   67    611    2  203   796   1  8
   68    611    2  203  3722   1  8
   69    611    2  203  3863   1  8
   70    611    2  203  2110   1  8
   71    611    2  203  2693   1  8
   72    611    2  203   899   1  8
   73    611    2  203  4279   1  8
   74    611    2  203  1236   1  8
   75    611    2  203  1577   1  8
   76    611    2  203   642   1  8
   77    611    2  203  1069   1  8
   78    611    2  203   771   1  8
   79    611    2  203   332   1  8
   80    611    2  203  1654   1  8
   81    611    2  203  4282   1  8
   82    611    2  203   721   1  8
   83    611    2  203  1617   1  8
   84    611    2  203  1246   1  8
   85    611    2  203  3920   1  8
   86    611    2  203   865   1  8
   87    611    2  203   718   1  8
   88    611    2  203   578   1  8
   89    611    2  203  1006   1  8
   90    611    2  203  4088   1  8
   91    611    2  203  2123   1  8
   92    611    2  203  1243   1  8
   93    611    2  203   936   1  8
   94    611    2  203  1011   1  8
   95    611    2  203  2306   1  8
   96    611    2  203  1403   1  8
   97    611    2  203  3130   1  8
   98    611    2  203  1783   1  8
   99    611    2  203  1132   1  8
  100    611    2  203  2841   1  8
  101    611    2  203  2888   1  8
  102    611    2  203  1278   1  8
  103    611    2  203   923   1  8
  104    611    2  203  1087   1  8
  105    611    2  203   633   1  8
  106    611    2  203  4797   1  8
  107    611    2  203  2172   1  8
  108    611    2  203  8880   1  8
  109    611    2  203  2888   1  8
  110    611    2  203   858   1  8
  111    611    2  203  1077   1  8
  112    611    2  203  1160   1  8
  113    611    2  203  1206   1  8
  114    611    2  203   660   1  8
  115    611    2  203   917   1  8
  116    611    2  203  1895   1  8
  117    611    2  203  2876   1  8
  118    611    2  203  1368   1  8
  119    611    2  203  1174   1  8
  120    611    2  203  1717   1  8
  121    611    2  203  2243   1  8
  122    611    2  203   502   1  8
  123    611    2  203  1450   1  8
  124    611    2  203  1172   1  8
  125    611    2  203   815   1  8
  126    611    2  203  1891   1  8
  127    611    2  203  1670   1  8
  128    611    2  203  1376   1  8
  129    611    2  203  2529   1  8
  130    611    2  203  3395   1  8
  131    611    2  203  1927   1  8
  132    611    2  203  2201   1  8
  133    611    2  203   588   1  8
  134    611    2  203  3295   1  8
  135    611    2  203  3077   1  8
  136    611    2  203   649   1  8
  137    611    2  203  1713   1  8
  138    611    2  203  1858   1  8
  139    611    2  203  1214   1  8
  140    611    2  203  2340   1  8
  141    611    2  203  1414   1  8
  142    611    2  203  2063   1  8
  143    611    2  203  3284   1  8
  144    611    2  203   712   1  8
  145    611    2  203  3107   1  8
  146    611    2  203  1841   1  8
  147    611    2  203  3533   1  8
  148    611    2  203  1322   1  8
  149    611    2  203   822   1  8
  150    611    2  203  4775   1  8
  151    611    2  203  1963   1  8
  152    611    2  203  2217   1  8
  153    611    2  203  2472   1  8
  154    611    2  203  1218   1  8
  155    611    2  203  1305   1  8
  156    611    2  203   684   1  8
  157    611    2  203  2163   1  8
  158    611    2  203   786   1  8
  159    611    2  203  2599   1  8
  160    611    2  203  3732   1  8
  161    611    2  203  3044   1  8
  162    611    2  203  1283   1  8
  163    611    2  203  5046   1  8
  164    611    2  203  1318   1  8
  165    611    2  203  3677   1  8
  166    611    2  203   698   1  8
  167    611    2  203   856   1  8
  168    611    2  203  2762   1  8
  169    611    2  203  1770   1  8
  170    611    2  203   602   1  8
  171    611    2  203   660   1  8
  172    611    2  203   809   1  8
  173    611    2  203  1862   1  8
  174    611    2  203  2157   1  8
  175    611    2  203  1725   1  8
  176    611    2  203  2315   1  8
  177    611    2  203  4096   1  8
  178    611    2  203  1761   1  8
  179    611    2  203   848   1  8
  180    611    2  203  1476   1  8
  181    611    2  203  1093   1  8
  182    611    2  203  1947   1  8
  183    611    2  203  1872   1  8
  184    611    2  203  4007   1  8
  185    611    2  203  3265   1  8
  186    611    2  203  2488   1  8
  187    611    2  203  2255   1  8
  188    611    2  203  3714   1  8
  189    611    2  203  1402   1  8
  190    611    2  203  1228   1  8
  191    611    2  203  1070   1  8
  192    611    2  203   208   1  8
  193    611    2  203  1687   1  8
  194    611    2  203  2011   1  8
  195    611    2  203   708   1  8
  196    611    2  203  1592   1  8
  197    611    2  203  1562   1  8
  198    611    2  203  1708   1  8
  199    611    2  203  1274   1  8
  200    611    2  203  1169   1  8
  201    611    2  203   460   1  8
  202    611    2  203  1347   1  8
  203    611    2  203   579   1  8
  204    611    2  203  2641   1  8
  205   1077    3    7  4066  30 24
  206   1077    3    7  2574  30 24
  207   1077    3    7  1530  30 24
  208   1077    3    7  2423  30 24
  209   1077    3    7  1135  30 24
  210   1077    3    7  1926  30 24
  211   1077    3    7  1336  30 24
  212   1154    4   17  3865   3 32
  213   1154    4   17  1541   3 32
