time jobId jobSize runtime tasks user
2911 1 2 92 166;608 21
4148 2 4 38 351;10;127;181 1
4289 3 6 51 65;1;58;93;18;9 12
9574 4 2 148 8;1037 1
14344 5 10 1 16;2;66;81;2;96;192;1;36;3 83
14992 6 2 1235 195;1832 1
15319 7 4 669 413;1687;216;38 53
16721 8 1 2134 2550 4
21083 9 1 16 8 4
21514 10 12 19 4;46;30;15;4;2;25;17;1050;71;12;25 1
21554 11 20 677 1681;862;93;1500;160;1562;326;8;3;112;4;21;872;37;5;113;1292;651;2963;431 26
21680 12 4 2 187;17;1619;5 2
21782 13 16 2 10;48;5;5;260;82;1922;349;5;13;1483;11;9;38;39;355 7
21858 14 2 138 211;498 1
22002 15 7 49 15;135;1674;1;34;141;2 1
22158 16 1 2 3 10
22328 17 5 1 40;85;5;271;19 4
22763 18 3 24 6;339;5 1
22789 19 2 15 2099;424 1
23384 20 16 41 7;7;127;109;321;72;139;115;285;1070;1;26;58;3358;3;659 15
23487 21 4 9 545;53;42;115 3
23507 22 12 2 33;6;1902;30;1;3190;37;2;543;44;433;1 1
23554 23 30 7 3;44;10;2;1;3;3;3;2;48;7;12;4;9;9;320;1;2;184;7;1;11;3;5;34;9;29;4;2;54 14
23637 24 3 415 280;295;31 32
23978 25 1 2 49 15
24009 26 2 1 3;147 6
24054 27 5 79 471;1;3129;41;39 8
24223 28 1 1 5 3
24356 29 7 3 3;1;2;5;18;21;9 1
24392 30 2 191 338;690 12
24452 31 4 5 152;185;149;231 1
24497 32 5 1302 2538;47;57;4;1172 4
24624 33 3 48 2374;10;2986 1
26770 34 2 8 1;256 1
26856 35 20 658 71;2;33;268;291;433;52;8;973;1103;47;44;17;1632;2808;48;1276;35;8;3349 1
26916 36 7 2 479;58;58;22;56;13;640 6
27015 37 1 138 674 260
27051 38 3 1064 2;192;1978 23
27255 39 5 2 3;98;659;1465;1 20
27258 40 4 884 246;6;5;171 1
27342 41 4 9 11;46;1421;552 1
27728 42 5 18 207;4;185;23;12 4
27848 43 8 17 3;28;6;8;2;92;21;13 11
27931 44 2 1 43;13 1
28223 45 5 3 7;12;2396;234;91 61
28470 46 2 151 811;15 6
28775 47 5 2 1;16;102;1;288 3
28819 48 4 11 2;32;140;154 47
28850 49 24 1932 1718;3;21;47;913;78;357;33;112;23;21;31;143;154;38;2;6;6;288;590;186;3;86;13 2
28971 50 5 645 972;10;2;2;3287 1
28984 51 3 122 639;17;2827 110
28989 52 3 63 98;1;678 2
29698 53 2 1 7;2 182
30008 54 1 52 124 17
30071 55 7 22 82;1477;4;22;56;1;3 1
30226 56 2 28 3;28 5
30256 57 4 107 34;1;84;73 23
30743 58 7 1 262;1338;2082;9;23;20;415 1
30773 59 5 3 7;2;5;3;28 21
30782 60 2 31 24;7 1
30836 61 4 5 25;3;65;1 1
30975 62 2 852 22;3019 2
31225 63 6 114 324;8;27;5;3;264 1
31296 64 1 2 1588 2
31348 65 7 4 22;2;11;4;2;8;168 2
31442 66 5 5 28;1;14;95;102 1
31479 67 6 23 468;265;6;5;2;2 1
31553 68 26 49 28;3;346;1073;9;608;265;137;3393;3;62;2008;17;637;2;12;433;2;15;147;4;19;2;3;5;605 1
31862 69 4 928 865;1;16;542 24
31887 70 2 11 1174;99 9
31974 71 8 4 2;282;92;1152;46;5;289;149 100
32096 72 2 2 610;1 230
32130 73 3 20 263;2;3 1
32357 74 3 2766 4;3;14 1
32417 75 4 1 16;32;2;140 26
32864 76 2 140 10;2 1
32888 77 1 3 1044 2
32894 78 4 318 24;231;199;229 1
32970 79 3 5 1;169;1228 1
33017 80 2 419 630;559 1
33020 81 5 22 384;5;59;51;157 1
33124 82 4 2 1321;129;323;91 1
33273 83 2 3 2942;7 17
33503 84 4 122 497;12;67;57 1
33525 85 2 39 8;1394 1
33560 86 2 341 14;13 6
33610 87 1 21 8 95
33676 88 1 40 570 265
33728 89 4 5 1;2899;285;12 31
33831 90 2 5 2;257 13
33843 91 4 4 216;6;3;8 10
33868 92 2 1 9;1 5
33903 93 7 25 478;2;1;814;138;119;91 1
33930 94 3 73 979;17;6 17
33968 95 3 1 14;79;1 2
34124 96 15 1127 51;43;3;3;13;58;24;29;456;204;1766;629;417;41;3 137
34298 97 2 1305 298;1281 3
34934 98 4 2 2809;6;1095;160 4
35017 99 7 2 5;12;153;77;75;139;1756 3
35124 100 1 12 2 2
35517 101 3 294 15;1056;3 4
36053 102 6 641 8;22;23;22;89;2694 4
36058 103 2 1 2;2 1
36094 104 11 51 8;1544;68;87;552;79;53;1484;731;55;39 1
36119 105 1 14 82 1
36164 106 10 3 6;14;31;60;1;56;1435;1553;21;14 1
36165 107 2 71 1;4 13
36260 108 5 6 2236;16;4;1869;2942 22
36679 109 7 95 656;110;1;806;20;3;5 1
36739 110 3 379 28;2445;692 3
36914 111 2 1 33;1 1
36983 112 2 67 72;1221 8
37057 113 2 250 1650;16 1
37090 114 3 4 20;1629;1037 6
37154 115 1 6 4 1
37439 116 1 445 15 2
37484 117 4 21 771;185;153;248 2
37502 118 8 172 8;1;291;961;117;75;5;12 1
37557 119 2 45 19;18 315
37576 120 2 2 1;1923 2
37698 121 3 36 197;1489;20 2
37725 122 43 1226 2468;164;21;2058;2352;1618;344;297;56;87;5;19;431;24;828;1342;73;742;819;3011;1025;2073;32;1292;56;1655;3132;1481;1060;22;837;1325;114;1237;111;45;17;1220;52;4;39;15;157 34
38098 123 4 4 2;6;19;5 1
38252 124 1 10 123 1
38438 125 2 59 111;18 213
38509 126 3 1339 1692;527;2193 23
38546 127 6 24 85;15;2;761;249;1 1
38588 128 2 23 367;2 1
38597 129 6 7 1;122;3;254;773;320 4
39732 130 4 4 38;15;4;26 1
40326 131 39 6 3;123;286;316;4;783;13;103;1819;10;114;395;437;1882;5;48;5;1903;952;7;10;182;151;23;5;4;2262;12;564;10;2;51;2;4;71;101;153;126;5 5
40330 132 5 8 11;222;2;3;4 44
40470 133 9 466 67;2121;8;6;335;1;3;120;1772 1
40478 134 3 63 7;22;94 1
41275 135 9 1 2;39;2;8;1;81;2;1;4 2
41391 136 4 3 20;392;5;12 1
43125 137 8 2797 1;301;369;58;5;1;98;134 9
43172 138 14 1276 189;53;206;2;2497;3275;49;17;3;1292;6;2971;13;77 2
43190 139 3 1 2;1;63 13
43257 140 1 2 3 75
43276 141 2 910 109;633 139
43294 142 4 567 758;146;425;721 5
43510 143 3 7 6;524;107 2
44148 144 2 21 1110;2 3
44195 145 1 44 2 17
