"TaskId" "JobId" "ThinkTime" "RunTime" "UserId" "SiteId"
1 1 972 520 "U1" "P1"
2 1 -1 1659 "U1" "P1"
3 1 -1 1543 "U1" "P1"
4 1 -1 389 "U1" "P1"
5 2 11 2082 "U2" "P1"
6 2 -1 1555 "U2" "P1"
7 2 -1 353 "U2" "P1"
8 2 -1 2167 "U2" "P1"
9 2 -1 2305 "U2" "P1"
10 2 -1 2021 "U2" "P1"
11 2 -1 447 "U2" "P1"
12 2 -1 370 "U2" "P1"
13 3 35 1189 "U3" "P1"
14 3 -1 1298 "U3" "P1"
15 3 -1 1120 "U3" "P1"
16 4 24 1150 "U4" "P1"
17 4 -1 857 "U4" "P1"
18 4 -1 2201 "U4" "P1"
19 4 -1 854 "U4" "P1"
20 4 -1 1382 "U4" "P1"
21 4 -1 967 "U4" "P1"
22 4 -1 717 "U4" "P1"
23 4 -1 810 "U4" "P1"
24 4 -1 105 "U4" "P1"
25 4 -1 1141 "U4" "P1"
26 4 -1 1278 "U4" "P1"
27 4 -1 1450 "U4" "P1"
28 4 -1 1987 "U4" "P1"
29 4 -1 207 "U4" "P1"
30 4 -1 867 "U4" "P1"
31 4 -1 217 "U4" "P1"
32 4 -1 1374 "U4" "P1"
33 4 -1 853 "U4" "P1"
34 4 -1 1724 "U4" "P1"
35 4 -1 978 "U4" "P1"
36 4 -1 1980 "U4" "P1"
37 4 -1 1107 "U4" "P1"
38 4 -1 1391 "U4" "P1"
39 4 -1 1158 "U4" "P1"
40 4 -1 1311 "U4" "P1"
41 4 -1 1668 "U4" "P1"
42 4 -1 446 "U4" "P1"
43 4 -1 2396 "U4" "P1"
44 4 -1 990 "U4" "P1"
45 4 -1 1441 "U4" "P1"
46 4 -1 1387 "U4" "P1"
47 4 -1 1157 "U4" "P1"
48 4 -1 839 "U4" "P1"
49 4 -1 917 "U4" "P1"
50 4 -1 605 "U4" "P1"
51 4 -1 1282 "U4" "P1"
52 4 -1 926 "U4" "P1"
53 4 -1 1171 "U4" "P1"
54 4 -1 1085 "U4" "P1"
55 4 -1 588 "U4" "P1"
56 5 286 336 "U5" "P1"
57 5 -1 1658 "U5" "P1"
58 5 -1 1619 "U5" "P1"
59 5 -1 570 "U5" "P1"
60 5 -1 310 "U5" "P1"
61 5 -1 1184 "U5" "P1"
62 5 -1 1766 "U5" "P1"
63 5 -1 823 "U5" "P1"
64 5 -1 822 "U5" "P1"
65 5 -1 586 "U5" "P1"
66 6 7 1674 "U6" "P1"
67 6 -1 1921 "U6" "P1"
68 6 -1 1952 "U6" "P1"
69 7 103 784 "U7" "P1"
70 7 -1 879 "U7" "P1"
71 7 -1 1254 "U7" "P1"
72 7 -1 1818 "U7" "P1"
73 7 -1 1513 "U7" "P1"
74 7 -1 889 "U7" "P1"
75 7 -1 1587 "U7" "P1"
76 7 -1 1395 "U7" "P1"
77 7 -1 1515 "U7" "P1"
78 7 -1 303 "U7" "P1"
79 7 -1 1165 "U7" "P1"
80 7 -1 1306 "U7" "P1"
81 8 1 630 "U8" "P1"
82 8 -1 1479 "U8" "P1"
83 8 -1 1747 "U8" "P1"
84 8 -1 717 "U8" "P1"
85 8 -1 1329 "U8" "P1"
86 8 -1 528 "U8" "P1"
87 8 -1 1399 "U8" "P1"
88 8 -1 1154 "U8" "P1"
89 8 -1 1754 "U8" "P1"
90 8 -1 751 "U8" "P1"
91 8 -1 1713 "U8" "P1"
92 8 -1 953 "U8" "P1"
93 8 -1 1182 "U8" "P1"
94 8 -1 1412 "U8" "P1"
95 8 -1 2000 "U8" "P1"
96 9 44 962 "U9" "P1"
97 9 -1 1628 "U9" "P1"
98 9 -1 298 "U9" "P1"
99 9 -1 608 "U9" "P1"
100 9 -1 1187 "U9" "P1"
101 9 -1 1445 "U9" "P1"
102 9 -1 1456 "U9" "P1"
103 9 -1 540 "U9" "P1"
104 9 -1 1001 "U9" "P1"
105 9 -1 1339 "U9" "P1"
106 9 -1 498 "U9" "P1"
107 9 -1 1555 "U9" "P1"
108 9 -1 1289 "U9" "P1"
109 10 14 1409 "U10" "P1"
110 10 -1 1492 "U10" "P1"
111 10 -1 692 "U10" "P1"
112 10 -1 1577 "U10" "P1"
113 10 -1 1488 "U10" "P1"
114 11 3 2074 "U11" "P2"
115 11 -1 1130 "U11" "P2"
116 11 -1 1660 "U11" "P2"
117 11 -1 985 "U11" "P2"
118 11 -1 437 "U11" "P2"
119 11 -1 943 "U11" "P2"
120 11 -1 937 "U11" "P2"
121 11 -1 923 "U11" "P2"
122 11 -1 522 "U11" "P2"
123 11 -1 408 "U11" "P2"
124 11 -1 1290 "U11" "P2"
125 11 -1 238 "U11" "P2"
126 11 -1 1461 "U11" "P2"
127 11 -1 1063 "U11" "P2"
128 11 -1 1530 "U11" "P2"
129 11 -1 1205 "U11" "P2"
130 11 -1 150 "U11" "P2"
131 11 -1 933 "U11" "P2"
132 11 -1 1513 "U11" "P2"
133 11 -1 1450 "U11" "P2"
134 11 -1 1805 "U11" "P2"
135 11 -1 1615 "U11" "P2"
136 11 -1 632 "U11" "P2"
137 11 -1 921 "U11" "P2"
138 11 -1 1953 "U11" "P2"
139 11 -1 1401 "U11" "P2"
140 11 -1 1322 "U11" "P2"
141 11 -1 2053 "U11" "P2"
142 11 -1 1494 "U11" "P2"
143 11 -1 819 "U11" "P2"
144 11 -1 2100 "U11" "P2"
145 11 -1 854 "U11" "P2"
146 11 -1 1209 "U11" "P2"
147 11 -1 1891 "U11" "P2"
148 11 -1 673 "U11" "P2"
149 11 -1 316 "U11" "P2"
150 12 6 1080 "U12" "P2"
151 12 -1 300 "U12" "P2"
152 12 -1 2384 "U12" "P2"
153 12 -1 1556 "U12" "P2"
154 12 -1 662 "U12" "P2"
155 12 -1 1029 "U12" "P2"
156 12 -1 954 "U12" "P2"
157 12 -1 1231 "U12" "P2"
158 12 -1 1111 "U12" "P2"
159 12 -1 1220 "U12" "P2"
160 12 -1 1489 "U12" "P2"
161 13 3 541 "U13" "P2"
162 13 -1 1400 "U13" "P2"
163 13 -1 437 "U13" "P2"
164 13 -1 899 "U13" "P2"
165 14 1 1161 "U14" "P2"
166 15 4 206 "U15" "P2"
167 15 -1 1196 "U15" "P2"
168 15 -1 1753 "U15" "P2"
169 15 -1 1430 "U15" "P2"
170 15 -1 762 "U15" "P2"
171 15 -1 1622 "U15" "P2"
172 15 -1 949 "U15" "P2"
173 15 -1 2081 "U15" "P2"
174 15 -1 1249 "U15" "P2"
175 15 -1 1109 "U15" "P2"
176 15 -1 1810 "U15" "P2"
177 15 -1 1397 "U15" "P2"
178 15 -1 854 "U15" "P2"
179 15 -1 1986 "U15" "P2"
180 15 -1 518 "U15" "P2"
181 15 -1 672 "U15" "P2"
182 15 -1 909 "U15" "P2"
183 15 -1 1337 "U15" "P2"
184 15 -1 1161 "U15" "P2"
185 15 -1 1411 "U15" "P2"
186 15 -1 1612 "U15" "P2"
187 15 -1 1021 "U15" "P2"
188 15 -1 1909 "U15" "P2"
189 15 -1 729 "U15" "P2"
190 16 8 456 "U16" "P2"
191 16 -1 1659 "U16" "P2"
192 16 -1 1291 "U16" "P2"
193 16 -1 1346 "U16" "P2"
194 16 -1 1484 "U16" "P2"
195 16 -1 902 "U16" "P2"
196 16 -1 831 "U16" "P2"
197 17 111 1213 "U17" "P2"
198 17 -1 953 "U17" "P2"
199 17 -1 1448 "U17" "P2"
200 17 -1 398 "U17" "P2"
201 17 -1 313 "U17" "P2"
202 17 -1 1818 "U17" "P2"
203 17 -1 771 "U17" "P2"
204 18 11 217 "U18" "P2"
205 18 -1 1415 "U18" "P2"
206 18 -1 1216 "U18" "P2"
207 18 -1 1112 "U18" "P2"
208 18 -1 1685 "U18" "P2"
209 18 -1 856 "U18" "P2"
210 18 -1 1550 "U18" "P2"
211 18 -1 617 "U18" "P2"
212 18 -1 2303 "U18" "P2"
213 18 -1 1921 "U18" "P2"
214 18 -1 1841 "U18" "P2"
215 18 -1 1582 "U18" "P2"
216 18 -1 1973 "U18" "P2"
217 18 -1 1574 "U18" "P2"
218 18 -1 1600 "U18" "P2"
219 18 -1 1651 "U18" "P2"
220 18 -1 840 "U18" "P2"
221 18 -1 1809 "U18" "P2"
222 18 -1 1117 "U18" "P2"
223 19 212 1221 "U19" "P2"
224 19 -1 1510 "U19" "P2"
225 19 -1 1155 "U19" "P2"
226 19 -1 780 "U19" "P2"
227 19 -1 540 "U19" "P2"
228 19 -1 1372 "U19" "P2"
229 19 -1 1090 "U19" "P2"
230 19 -1 1501 "U19" "P2"
231 19 -1 848 "U19" "P2"
232 19 -1 1534 "U19" "P2"
233 19 -1 1671 "U19" "P2"
234 19 -1 1441 "U19" "P2"
235 19 -1 677 "U19" "P2"
236 19 -1 1076 "U19" "P2"
237 19 -1 1359 "U19" "P2"
238 19 -1 1266 "U19" "P2"
239 19 -1 1583 "U19" "P2"
240 20 1 1090 "U20" "P2"
241 20 -1 1565 "U20" "P2"
242 20 -1 743 "U20" "P2"
243 20 -1 1602 "U20" "P2"
244 20 -1 1183 "U20" "P2"
245 20 -1 1073 "U20" "P2"
246 20 -1 1184 "U20" "P2"
247 20 -1 803 "U20" "P2"
248 20 -1 1430 "U20" "P2"
249 20 -1 1502 "U20" "P2"
250 20 -1 1318 "U20" "P2"
251 20 -1 1503 "U20" "P2"
252 20 -1 349 "U20" "P2"
253 21 311 2314 "U21" "P3"
254 21 -1 1262 "U21" "P3"
255 21 -1 1127 "U21" "P3"
256 21 -1 632 "U21" "P3"
257 21 -1 520 "U21" "P3"
258 21 -1 798 "U21" "P3"
259 21 -1 794 "U21" "P3"
260 21 -1 1398 "U21" "P3"
261 21 -1 950 "U21" "P3"
262 21 -1 1751 "U21" "P3"
263 21 -1 583 "U21" "P3"
264 21 -1 946 "U21" "P3"
265 21 -1 1755 "U21" "P3"
266 21 -1 787 "U21" "P3"
267 21 -1 526 "U21" "P3"
268 21 -1 1974 "U21" "P3"
269 21 -1 1780 "U21" "P3"
270 21 -1 349 "U21" "P3"
271 21 -1 1291 "U21" "P3"
272 22 45 19 "U22" "P3"
273 22 -1 1720 "U22" "P3"
274 22 -1 2009 "U22" "P3"
275 22 -1 729 "U22" "P3"
276 22 -1 1650 "U22" "P3"
277 22 -1 528 "U22" "P3"
278 22 -1 1466 "U22" "P3"
279 22 -1 1635 "U22" "P3"
280 22 -1 785 "U22" "P3"
281 22 -1 1377 "U22" "P3"
282 22 -1 1593 "U22" "P3"
283 22 -1 861 "U22" "P3"
284 22 -1 1332 "U22" "P3"
285 22 -1 500 "U22" "P3"
286 22 -1 1392 "U22" "P3"
287 22 -1 646 "U22" "P3"
288 23 32 1260 "U23" "P3"
289 23 -1 984 "U23" "P3"
290 23 -1 668 "U23" "P3"
291 23 -1 2280 "U23" "P3"
292 23 -1 1324 "U23" "P3"
293 23 -1 2107 "U23" "P3"
294 23 -1 1096 "U23" "P3"
295 24 56 687 "U24" "P3"
296 25 1355 929 "U25" "P3"
297 25 -1 1246 "U25" "P3"
298 25 -1 1863 "U25" "P3"
299 25 -1 1030 "U25" "P3"
300 25 -1 1913 "U25" "P3"
301 25 -1 956 "U25" "P3"
302 25 -1 1799 "U25" "P3"
303 25 -1 619 "U25" "P3"
304 25 -1 1656 "U25" "P3"
305 25 -1 1250 "U25" "P3"
306 25 -1 619 "U25" "P3"
307 25 -1 1804 "U25" "P3"
308 25 -1 1070 "U25" "P3"
309 25 -1 681 "U25" "P3"
310 26 12 318 "U26" "P3"
311 26 -1 1636 "U26" "P3"
312 26 -1 2156 "U26" "P3"
313 26 -1 1188 "U26" "P3"
314 26 -1 2241 "U26" "P3"
315 26 -1 1401 "U26" "P3"
316 26 -1 576 "U26" "P3"
317 27 43 1491 "U27" "P3"
318 27 -1 1001 "U27" "P3"
319 27 -1 1752 "U27" "P3"
320 27 -1 986 "U27" "P3"
321 27 -1 1908 "U27" "P3"
322 27 -1 1740 "U27" "P3"
323 28 30 1050 "U28" "P3"
324 28 -1 1596 "U28" "P3"
325 29 1 92 "U29" "P3"
326 29 -1 821 "U29" "P3"
327 29 -1 1515 "U29" "P3"
328 29 -1 699 "U29" "P3"
329 30 633 591 "U30" "P3"
330 30 -1 1010 "U30" "P3"
331 30 -1 1027 "U30" "P3"
332 30 -1 838 "U30" "P3"
333 30 -1 180 "U30" "P3"
334 30 -1 1460 "U30" "P3"
335 30 -1 1845 "U30" "P3"
336 30 -1 1464 "U30" "P3"
337 30 -1 1585 "U30" "P3"
338 30 -1 1911 "U30" "P3"
339 30 -1 1316 "U30" "P3"
340 31 9306 1719 "U31" "P4"
341 31 -1 1185 "U31" "P4"
342 31 -1 343 "U31" "P4"
343 31 -1 1109 "U31" "P4"
344 31 -1 1119 "U31" "P4"
345 31 -1 1559 "U31" "P4"
346 31 -1 804 "U31" "P4"
347 31 -1 1578 "U31" "P4"
348 31 -1 1037 "U31" "P4"
349 31 -1 770 "U31" "P4"
350 31 -1 1083 "U31" "P4"
351 31 -1 1988 "U31" "P4"
352 31 -1 1208 "U31" "P4"
353 31 -1 526 "U31" "P4"
354 31 -1 1714 "U31" "P4"
355 31 -1 1389 "U31" "P4"
356 31 -1 1403 "U31" "P4"
357 31 -1 1358 "U31" "P4"
358 31 -1 1392 "U31" "P4"
359 31 -1 1019 "U31" "P4"
360 31 -1 1511 "U31" "P4"
361 31 -1 502 "U31" "P4"
362 31 -1 1965 "U31" "P4"
363 31 -1 929 "U31" "P4"
364 31 -1 1271 "U31" "P4"
365 31 -1 2016 "U31" "P4"
366 31 -1 566 "U31" "P4"
367 31 -1 1223 "U31" "P4"
368 31 -1 1550 "U31" "P4"
369 31 -1 1558 "U31" "P4"
370 31 -1 989 "U31" "P4"
371 32 49 586 "U32" "P4"
372 32 -1 1569 "U32" "P4"
373 32 -1 644 "U32" "P4"
374 32 -1 1197 "U32" "P4"
375 32 -1 1335 "U32" "P4"
376 32 -1 1320 "U32" "P4"
377 33 5 1307 "U33" "P4"
378 33 -1 1372 "U33" "P4"
379 33 -1 1344 "U33" "P4"
380 33 -1 1575 "U33" "P4"
381 33 -1 355 "U33" "P4"
382 33 -1 1545 "U33" "P4"
383 33 -1 2002 "U33" "P4"
384 33 -1 924 "U33" "P4"
385 33 -1 1085 "U33" "P4"
386 33 -1 853 "U33" "P4"
387 34 1145 55 "U34" "P4"
388 34 -1 2047 "U34" "P4"
389 34 -1 1517 "U34" "P4"
390 34 -1 1587 "U34" "P4"
391 34 -1 1741 "U34" "P4"
392 34 -1 1055 "U34" "P4"
393 34 -1 2042 "U34" "P4"
394 35 1496 1858 "U35" "P4"
395 35 -1 861 "U35" "P4"
396 36 199 1387 "U36" "P4"
397 36 -1 1497 "U36" "P4"
398 36 -1 353 "U36" "P4"
399 36 -1 1266 "U36" "P4"
400 36 -1 1445 "U36" "P4"
401 37 2210 697 "U37" "P4"
402 37 -1 1468 "U37" "P4"
403 37 -1 981 "U37" "P4"
404 37 -1 1524 "U37" "P4"
405 37 -1 715 "U37" "P4"
406 38 3 910 "U38" "P4"
407 38 -1 594 "U38" "P4"
408 38 -1 1272 "U38" "P4"
409 38 -1 183 "U38" "P4"
410 38 -1 1304 "U38" "P4"
411 38 -1 794 "U38" "P4"
412 38 -1 775 "U38" "P4"
413 39 30 590 "U39" "P4"
414 39 -1 1399 "U39" "P4"
415 39 -1 1802 "U39" "P4"
416 39 -1 1017 "U39" "P4"
417 39 -1 600 "U39" "P4"
418 39 -1 1976 "U39" "P4"
419 39 -1 396 "U39" "P4"
420 39 -1 1178 "U39" "P4"
421 39 -1 1073 "U39" "P4"
422 39 -1 1617 "U39" "P4"
423 39 -1 1172 "U39" "P4"
424 39 -1 1744 "U39" "P4"
425 39 -1 2023 "U39" "P4"
426 39 -1 1566 "U39" "P4"
427 39 -1 733 "U39" "P4"
428 39 -1 1742 "U39" "P4"
429 39 -1 1122 "U39" "P4"
430 39 -1 1164 "U39" "P4"
431 39 -1 1221 "U39" "P4"
432 39 -1 1793 "U39" "P4"
433 39 -1 1467 "U39" "P4"
434 39 -1 1555 "U39" "P4"
435 39 -1 929 "U39" "P4"
